id_i,id_j
1,2
1,5
1,98
2,3
4,6
4,11
5,6
7,8
7,11
8,9
8,22
10,12
11,12
13,15
13,16
14,15
16,17
17,18
18,21
19,21
19,48
20,21
20,23
22,23
23,24
24,25
26,27
27,28
27,37
28,29
29,31
30,31
32,34
32,38
33,34
33,35
35,36
36,37
38,39
39,40
40,41
41,43
42,43
43,50
44,46
45,46
45,49
47,48
48,49
49,50
51,53
52,53
52,55
53,59
54,56
55,56
56,65
57,58
58,59
59,61
60,61
61,62
63,65
63,68
63,75
64,65
66,68
67,68
69,70
69,72
70,71
70,100
72,73
72,74
74,75
76,77
76,79
77,78
78,85
79,81
80,81
82,83
82,86
83,84
84,94
85,86
86,87
88,90
89,90
89,93
90,150
91,92
92,93
93,97
94,96
95,96
95,99
97,98
98,99
99,100
101,103
101,106
102,103
102,188
103,109
104,106
105,106
105,136
107,108
108,109
108,112
110,111
111,112
112,113
113,115
113,117
114,115
114,122
116,117
117,118
119,120
120,121
121,122
122,123
123,124
124,125
126,127
127,128
128,131
128,145
129,131
129,134
130,131
132,134
132,135
133,134
135,136
136,137
138,139
139,140
139,141
141,142
141,144
142,143
144,145
144,148
145,146
147,148
147,149
149,150
151,152
152,153
153,154
153,159
154,156
154,170
155,156
157,159
158,159
158,161
159,196
160,161
161,162
163,165
163,167
164,165
166,168
167,168
167,171
169,171
170,171
171,174
172,173
173,175
174,175
176,178
176,184
177,178
178,180
179,180
180,181
182,183
182,200
183,184
184,187
185,186
186,187
188,190
189,190
190,193
191,192
191,200
192,193
194,195
195,196
196,198
197,198
197,200
199,200
