id_i,id_j
1,2
1,3
1,15
2,4
2,6
3,5
5,13
6,7
7,8
7,9
9,10
9,11
11,12
13,14
15,16
15,17
17,18
17,41
18,19
18,34
19,20
20,21
20,32
21,22
22,23
23,24
23,35
24,25
25,26
26,27
27,28
28,29
28,40
29,30
30,31
30,33
31,36
34,45
36,37
36,47
37,38
38,39
38,58
39,42
40,48
42,43
43,44
43,46
45,49
46,50
50,51
50,57
51,52
52,53
52,56
53,54
54,55
57,59
59,60
59,61
60,62
62,63
63,64
63,65
64,66
65,67
66,68
68,69
68,76
69,70
69,74
70,71
71,72
72,73
74,75
74,79
76,77
77,78
77,96
78,80
79,92
80,81
81,82
81,93
82,83
82,94
83,84
83,88
84,85
85,86
86,87
86,95
88,89
89,90
90,91
96,97
97,98
98,99
99,100
