x_m,y_m,z_m,radius_m
8.79703729666402e-06,-3.5986812058019448e-06,2.0321101181257655e-05,4.9999999999999998e-07
8.4131110297710931e-06,-3.1792211372330199e-06,1.9498511446051937e-05,4.9999999999999998e-07
8.3538942184031866e-06,-3.8443674300642811e-06,1.8754150123585323e-05,4.9999999999999998e-07
8.8377601381893334e-06,-2.8832816747573396e-06,1.8642887130555236e-05,4.9999999999999998e-07
8.4727363102893676e-06,-4.5179061279660219e-06,2.0544382198607708e-05,4.9999999999999998e-07
9.677139924473264e-06,-3.3372373728872942e-06,1.8343946001713305e-05,4.9999999999999998e-07
7.3795841226635015e-06,-3.745729260856949e-06,1.8551689389330133e-05,4.9999999999999998e-07
6.967951841599154e-06,-4.5450330669625166e-06,1.8113885448357787e-05,4.9999999999999998e-07
7.0935087821110424e-06,-5.3155323020329079e-06,1.8738838553354659e-05,4.9999999999999998e-07
7.8308195147675244e-06,-5.4259117312319433e-06,1.9405313808048531e-05,4.9999999999999998e-07
7.9201760496641033e-06,-5.34824878280908e-06,2.0616550293538378e-05,4.9999999999999998e-07
8.1503158828198131e-06,-6.3151188975233208e-06,2.0506106468597668e-05,4.9999999999999998e-07
8.3478465210346881e-06,-5.6524281363855345e-06,2.1467768766537801e-05,4.9999999999999998e-07
7.775851860180007e-06,-2.6826740426216072e-06,2.0087868497087252e-05,4.9999999999999998e-07
6.6542129791590071e-06,-5.8293974231951734e-06,1.8001979113053041e-05,4.9999999999999998e-07
6.5586950624238227e-06,-4.1032204115733799e-06,1.8997044559883091e-05,4.9999999999999998e-07
7.9032222262715968e-06,-4.8961415136303074e-06,1.8158519137799661e-05,4.9999999999999998e-07
8.8947262039441656e-06,-4.0318317424389819e-06,2.1309663990752096e-05,4.9999999999999998e-07
7.1344033034247511e-06,-6.2466296588387916e-06,1.9101309725002311e-05,4.9999999999999998e-07
6.5855639294758462e-06,-3.1466777789180333e-06,1.865498147420127e-05,4.9999999999999998e-07
8.2050711041912505e-06,-1.7845702204832103e-06,2.018368271957441e-05,4.9999999999999998e-07
9.322165060360328e-06,-4.6042716420232133e-06,2.0023794265080123e-05,4.9999999999999998e-07
5.7028604718763432e-06,-3.5862363605328056e-06,1.8980472155347129e-05,4.9999999999999998e-07
9.097457257209716e-06,-6.257748929918499e-06,2.0821751686739531e-05,4.9999999999999998e-07
9.5162499958626292e-06,-3.683278037695003e-06,1.9268267530820521e-05,4.9999999999999998e-07
6.5993935145370026e-06,-2.675609437858155e-06,1.7772993174603067e-05,4.9999999999999998e-07
7.9328776069711861e-06,-2.4896546548622835e-06,1.8804891370946582e-05,4.9999999999999998e-07
7.4977146986670698e-06,-3.7539174902306618e-06,1.9544653698816019e-05,4.9999999999999998e-07
7.0404538347095762e-06,-5.7924899051301713e-06,2.044702551731261e-05,4.9999999999999998e-07
7.4845032559422078e-06,-6.6677882523951918e-06,2.116361530657979e-05,4.9999999999999998e-07
5.989321482323516e-06,-5.3842927731295547e-06,1.7402144846004366e-05,4.9999999999999998e-07
8.9890564828599336e-06,-2.362825343964329e-06,1.9540757674279714e-05,4.9999999999999998e-07
7.5373932722659143e-06,-3.2140131083502136e-06,1.7719599126518939e-05,4.9999999999999998e-07
6.1055510187036909e-06,-6.6652804228919874e-06,1.801840056144183e-05,4.9999999999999998e-07
7.6888261570010832e-06,-6.8816733940201183e-06,1.963920818553109e-05,4.9999999999999998e-07
9.7773032766221008e-06,-3.565337374353764e-06,2.0515951886776466e-05,4.9999999999999998e-07
7.298485049745765e-06,-6.5401020686710929e-06,2.2137829587654253e-05,4.9999999999999998e-07
7.2298069949238516e-06,-3.3030088958342137e-06,1.6772249966071243e-05,4.9999999999999998e-07
7.9713288443097644e-06,-6.0103205954375714e-06,2.2654175226480844e-05,4.9999999999999998e-07
6.8816282720108721e-06,-3.0081510834284792e-06,1.5882401413016289e-05,4.9999999999999998e-07
6.5592287325189418e-06,-2.21727258441075e-06,1.5362238230229529e-05,4.9999999999999998e-07
5.8009206998592188e-06,-1.5987983751263966e-06,1.5156183431562202e-05,4.9999999999999998e-07
4.9260382650162589e-06,-1.146411176304901e-06,1.4983190519725635e-05,4.9999999999999998e-07
4.1011160170153986e-06,-1.1833111376462044e-06,1.4419150026847493e-05,4.9999999999999998e-07
4.0764945660145044e-06,-3.3844050468765907e-07,1.4953553804636195e-05,4.9999999999999998e-07
4.9058920013551338e-06,2.0884777669013621e-07,1.5065694035226849e-05,4.9999999999999998e-07
4.6120095835424117e-06,2.8759034668956352e-07,1.601828667228134e-05,4.9999999999999998e-07
5.6712265672186365e-06,2.7079203568606135e-07,1.4425049117138855e-05,4.9999999999999998e-07
5.358598207629214e-06,-4.8729228742985858e-07,1.3852710346980565e-05,4.9999999999999998e-07
6.149035371497772e-06,-1.0818522976868853e-06,1.3705375747586554e-05,4.9999999999999998e-07
4.3720357397155819e-06,-5.1547105470477557e-07,1.3691774167148215e-05,4.9999999999999998e-07
4.7694139312159386e-06,3.9704428021214652e-07,1.359478789770061e-05,4.9999999999999998e-07
4.2380159630408824e-06,1.2339104030339966e-06,1.3726208184918927e-05,4.9999999999999998e-07
4.431006119559812e-06,2.214652127016921e-06,1.3756216022658425e-05,4.9999999999999998e-07
5.0870319782977883e-06,2.9680617384105432e-06,1.380098241772002e-05,4.9999999999999998e-07
