x_m,y_m,z_m,radius_m
4.8728698711955499e-07,4.1625237017134985e-07,-1.7116961881184046e-06,4.9999999999999998e-07
5.3413100953462659e-07,-3.9325831514295761e-07,-1.1264628261798196e-06,4.9999999999999998e-07
4.126039445799121e-07,-6.5473662375114927e-07,-1.6893461948776839e-07,4.9999999999999998e-07
5.8611354039668181e-07,4.614545150592074e-07,-2.7057736893550573e-06,4.9999999999999998e-07
9.0292573703770498e-07,1.1333032870259228e-06,-1.1521585109200762e-06,4.9999999999999998e-07
7.0810543651585849e-07,1.2325274336776335e-06,-1.7635134798991065e-07,4.9999999999999998e-07
-1.0828837977775743e-07,-1.2634658663401512e-06,-7.6736581489981298e-07,4.9999999999999998e-07
1.2894430602177603e-06,-1.1043794979310085e-06,1.284213156314995e-09,4.9999999999999998e-07
1.5857203092495321e-06,-4.8615996440275531e-07,7.293119599285636e-07,4.9999999999999998e-07
4.3854558093688718e-07,-1.0885400723062936e-06,7.3169937916251089e-07,4.9999999999999998e-07
-4.5980638229986532e-07,-6.4937357078088532e-07,7.218742030007484e-07,4.9999999999999998e-07
-1.172778993807224e-06,-2.7886748666981242e-07,1.3171852955205002e-06,4.9999999999999998e-07
3.7608287536903671e-07,-5.6540654461255309e-07,1.5816580385194519e-06,4.9999999999999998e-07
1.5500727557768278e-06,1.6432631162139506e-06,-5.2619021430970861e-07,4.9999999999999998e-07
-6.5391958046537322e-07,-1.9338002274642445e-06,-1.2702956679932101e-06,4.9999999999999998e-07
1.0107962305634404e-06,2.431315791446558e-06,-8.2309728800871344e-07,4.9999999999999998e-07
1.7633788843416248e-07,2.3125679633501486e-06,-2.8497255472353511e-07,4.9999999999999998e-07
-2.0575798748084388e-06,-7.3726363316123804e-07,1.2335170586483988e-06,4.9999999999999998e-07
-8.4407181117104202e-07,-1.1569905387659868e-06,1.6648223094598748e-06,4.9999999999999998e-07
-1.4047463026817255e-06,-2.0227963397392166e-07,2.2868891000056403e-06,4.9999999999999998e-07
1.4573377660797909e-06,-7.9098065852290654e-07,-9.3337750918025134e-07,4.9999999999999998e-07
-4.3850782494666215e-07,7.915852503951011e-07,-1.7567427748284018e-06,4.9999999999999998e-07
1.3615140090389708e-06,3.070157956989062e-06,-1.5078437574309018e-06,4.9999999999999998e-07
-5.3183066064035254e-07,4.3536545857325559e-07,1.0360153573336046e-06,4.9999999999999998e-07
-3.726809574973112e-07,-1.6723138744815458e-06,6.9823818919682323e-07,4.9999999999999998e-07
-1.5926545152609559e-06,-1.6992513293351846e-06,2.046368073620226e-06,4.9999999999999998e-07
2.1670156879905546e-06,-1.1196238740274352e-06,1.2400165299662193e-06,4.9999999999999998e-07
2.0237817906207098e-06,2.4952728147518492e-06,-7.4907858077292558e-07,4.9999999999999998e-07
1.8281250819840087e-06,1.1987081292478075e-06,-1.5259611041760118e-06,4.9999999999999998e-07
1.9472242149961393e-06,2.3833164541112505e-06,-1.9381835122318776e-06,4.9999999999999998e-07
1.6521895873693981e-07,-2.4792928021246439e-06,4.5441716784061711e-07,4.9999999999999998e-07
-1.2433667680283997e-06,1.3145798803262389e-06,-2.0372400097604826e-06,4.9999999999999998e-07
2.2025128190600763e-06,-1.3415963258447344e-06,-1.3095909157935387e-06,4.9999999999999998e-07
-5.7404735482388501e-08,-3.3883070071754111e-06,8.0674069215891127e-07,4.9999999999999998e-07
-1.6433327204879398e-06,2.1450434797210487e-06,-2.42499953182713e-06,4.9999999999999998e-07
-3.869445131018274e-07,-1.0138435529823257e-06,2.542628423485628e-06,4.9999999999999998e-07
-1.4766943504131177e-06,-8.1068864123881629e-07,3.0772446897920251e-06,4.9999999999999998e-07
-2.3882219873877634e-08,1.6321170695132084e-06,-1.4080425186368749e-06,4.9999999999999998e-07
-9.6379646781762098e-07,1.7311961162446161e-06,-1.0813246755196932e-06,4.9999999999999998e-07
2.3904148462785475e-06,-3.9357185545132983e-08,1.1202518259959254e-06,4.9999999999999998e-07
-2.05113055290595e-06,1.402123856611078e-06,-1.4542702677870806e-06,4.9999999999999998e-07
-1.8686344296172728e-06,-1.7247781944961198e-06,3.1812796019095799e-06,4.9999999999999998e-07
2.4308178764898101e-06,5.9493189546231989e-07,3.4821234717086598e-07,4.9999999999999998e-07
-2.6385457058874351e-06,-1.158706610183917e-06,5.371949203841087e-07,4.9999999999999998e-07
-2.3130868963565842e-06,2.8730021771061451e-06,-2.5716469962031239e-06,4.9999999999999998e-07
2.8357129239162861e-06,-3.2614027326640443e-07,1.9684647017819453e-06,4.9999999999999998e-07
-2.0052760802637289e-06,-2.5883269062386958e-06,2.244580239362775e-06,4.9999999999999998e-07
-7.9297882703315025e-07,-9.4385944110319849e-07,-1.4223854515401717e-06,4.9999999999999998e-07
-1.2635992806263243e-06,-2.6192896072617261e-06,2.9146226529643136e-06,4.9999999999999998e-07
-2.5023024996714968e-06,2.5327932431334004e-06,-1.6505306426910915e-06,4.9999999999999998e-07
