id_i,id_j
1,2
1,11
2,3
2,6
3,4
4,5
4,30
5,12
6,7
7,8
7,14
8,9
9,10
9,15
10,43
11,16
12,13
12,52
13,18
15,20
16,17
16,94
18,19
18,44
19,65
20,21
21,22
21,23
22,38
23,24
24,25
25,26
25,29
26,27
27,28
28,36
29,77
30,31
31,32
32,33
33,34
34,35
34,37
36,97
37,46
38,39
38,59
39,40
40,41
41,42
41,98
42,60
44,45
46,47
47,48
48,49
48,58
49,50
50,51
50,61
52,53
53,54
53,67
54,55
54,64
55,56
56,57
56,63
61,62
61,86
62,73
63,66
64,68
65,84
68,69
68,76
69,70
69,93
70,71
71,72
71,92
73,74
74,75
77,78
78,79
79,80
79,83
80,81
81,82
84,85
86,87
87,88
88,89
89,90
90,91
91,99
94,95
95,96
99,100
