case,n,df,sampling,rays,rotation,mean,reference_mean,absolute_mean_difference,maximum_particle_difference
fractal_dp1_N0200_Df1.8_kf1.3_rep01,200,1.8,fibonacci,512,0,0.647060546875,0.6475042724609374,0.0004437255859374156,0.021240234375
fractal_dp1_N0200_Df1.8_kf1.3_rep01,200,1.8,fibonacci,2048,0,0.64782958984375,0.6475042724609374,0.0003253173828126066,0.00830078125
fractal_dp1_N0200_Df1.8_kf1.3_rep01,200,1.8,fibonacci,4096,0,0.64750732421875,0.6475042724609374,3.0517578125666134e-06,0.0059814453125
fractal_dp1_N0200_Df1.8_kf1.3_rep01,200,1.8,fibonacci,8192,0,0.6475042724609374,0.6475042724609374,0.0,0.0
fractal_dp1_N0200_Df1.8_kf1.3_rep01,200,1.8,fibonacci,2048,1,0.64759521484375,0.6475042724609374,9.09423828125977e-05,0.009033203125
fractal_dp1_N0200_Df1.8_kf1.3_rep01,200,1.8,fibonacci,2048,2,0.64767822265625,0.6475042724609374,0.0001739501953125222,0.0093994140625
fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,2.2,fibonacci,512,0,0.53369140625,0.533497314453125,0.00019409179687501776,0.0203857421875
fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,2.2,fibonacci,2048,0,0.53330078125,0.533497314453125,0.00019653320312496003,0.010986328125
fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,2.2,fibonacci,4096,0,0.53349853515625,0.533497314453125,1.2207031250266454e-06,0.0050048828125
fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,2.2,fibonacci,8192,0,0.533497314453125,0.533497314453125,0.0,0.0
fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,2.2,fibonacci,2048,1,0.53378662109375,0.533497314453125,0.0002893066406249867,0.00732421875
fractal_dp1_N0200_Df2.2_kf1.1_rep01,200,2.2,fibonacci,2048,2,0.53353515625,0.533497314453125,3.784179687504885e-05,0.00830078125
fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,2.6,fibonacci,512,0,0.460458984375,0.4606890869140625,0.00023010253906252665,0.0240478515625
fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,2.6,fibonacci,2048,0,0.4605615234375,0.4606890869140625,0.00012756347656250888,0.00634765625
fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,2.6,fibonacci,4096,0,0.46092529296875,0.4606890869140625,0.00023620605468749334,0.0048828125
fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,2.6,fibonacci,8192,0,0.4606890869140625,0.4606890869140625,0.0,0.0
fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,2.6,fibonacci,2048,1,0.4610009765625,0.4606890869140625,0.00031188964843748,0.010986328125
fractal_dp1_N0200_Df2.6_kf0.8_rep01,200,2.6,fibonacci,2048,2,0.460615234375,0.4606890869140625,7.385253906250222e-05,0.00927734375
fractal_dp1_N0500_Df1.8_kf1.3_rep01,500,1.8,fibonacci,512,0,0.5969375,0.596656982421875,0.00028051757812497247,0.02099609375
fractal_dp1_N0500_Df1.8_kf1.3_rep01,500,1.8,fibonacci,2048,0,0.5966337890625,0.596656982421875,2.3193359375062172e-05,0.009765625
fractal_dp1_N0500_Df1.8_kf1.3_rep01,500,1.8,fibonacci,4096,0,0.5967041015625,0.596656982421875,4.711914062494049e-05,0.005615234375
fractal_dp1_N0500_Df1.8_kf1.3_rep01,500,1.8,fibonacci,8192,0,0.596656982421875,0.596656982421875,0.0,0.0
fractal_dp1_N0500_Df1.8_kf1.3_rep01,500,1.8,fibonacci,2048,1,0.596751953125,0.596656982421875,9.497070312491918e-05,0.00927734375
fractal_dp1_N0500_Df1.8_kf1.3_rep01,500,1.8,fibonacci,2048,2,0.5965810546875,0.596656982421875,7.592773437503642e-05,0.009521484375
fractal_dp1_N0500_Df2.2_kf1.1_rep01,500,2.2,fibonacci,512,0,0.4806953125,0.480440185546875,0.00025512695312501776,0.0240478515625
fractal_dp1_N0500_Df2.2_kf1.1_rep01,500,2.2,fibonacci,2048,0,0.4804375,0.480440185546875,2.6855468749920064e-06,0.0086669921875
fractal_dp1_N0500_Df2.2_kf1.1_rep01,500,2.2,fibonacci,4096,0,0.480408203125,0.480440185546875,3.198242187502087e-05,0.0078125
fractal_dp1_N0500_Df2.2_kf1.1_rep01,500,2.2,fibonacci,8192,0,0.480440185546875,0.480440185546875,0.0,0.0
fractal_dp1_N0500_Df2.2_kf1.1_rep01,500,2.2,fibonacci,2048,1,0.4805771484375,0.480440185546875,0.0001369628906249809,0.0091552734375
fractal_dp1_N0500_Df2.2_kf1.1_rep01,500,2.2,fibonacci,2048,2,0.480318359375,0.480440185546875,0.00012182617187500577,0.0106201171875
fractal_dp1_N0500_Df2.6_kf0.8_rep01,500,2.6,fibonacci,512,0,0.3912109375,0.390940185546875,0.00027075195312503686,0.022216796875
fractal_dp1_N0500_Df2.6_kf0.8_rep01,500,2.6,fibonacci,2048,0,0.390857421875,0.390940185546875,8.276367187498579e-05,0.009033203125
fractal_dp1_N0500_Df2.6_kf0.8_rep01,500,2.6,fibonacci,4096,0,0.39097412109375,0.390940185546875,3.39355468750302e-05,0.0074462890625
fractal_dp1_N0500_Df2.6_kf0.8_rep01,500,2.6,fibonacci,8192,0,0.390940185546875,0.390940185546875,0.0,0.0
fractal_dp1_N0500_Df2.6_kf0.8_rep01,500,2.6,fibonacci,2048,1,0.3911455078125,0.390940185546875,0.00020532226562502975,0.0087890625
fractal_dp1_N0500_Df2.6_kf0.8_rep01,500,2.6,fibonacci,2048,2,0.3909736328125,0.390940185546875,3.3447265625041744e-05,0.0091552734375
