x_m,y_m,z_m,radius_m
5.1784760576419465e-07,-2.2725771940218707e-07,-1.5983548791021227e-06,4.9999999999999998e-07
1.4791196845582615e-07,-4.8800954256282726e-07,-7.066396157093386e-07,4.9999999999999998e-07
2.6555005747926007e-07,4.7965502862713362e-07,-9.3758236620297261e-07,4.9999999999999998e-07
1.0001265086388566e-06,-3.7459016940114707e-07,-1.9588877303529143e-07,4.9999999999999998e-07
1.8571258969949434e-06,-2.7280872086547633e-07,3.092771255478215e-07,4.9999999999999998e-07
9.1519641071120067e-07,3.9920802751176325e-07,4.3182392312461168e-07,4.9999999999999998e-07
-6.9720705812971966e-07,4.9933002727242465e-07,-1.2072333086685885e-06,4.9999999999999998e-07
1.9529795487281795e-06,-1.1930579556532042e-06,-7.0134818547262442e-08,4.9999999999999998e-07
-6.8677583818351514e-07,-9.3773747056465949e-07,-3.8877005720649859e-07,4.9999999999999998e-07
1.0510494734248065e-06,-8.5289338869763938e-07,6.808283318896823e-07,4.9999999999999998e-07
-2.152730303363661e-08,4.8422437601409862e-07,2.0314136633014247e-08,4.9999999999999998e-07
-1.4196529073153058e-06,1.1277564772713529e-06,-1.4955945264775538e-06,4.9999999999999998e-07
9.4331353471780219e-07,-1.8443616812762377e-06,7.5420129913377431e-07,4.9999999999999998e-07
1.6761401812458374e-07,1.4155966847657725e-06,3.3139480642962614e-07,4.9999999999999998e-07
1.0828051911770952e-06,-1.7613001201503585e-06,1.7409347255674782e-06,4.9999999999999998e-07
4.2766338352557891e-07,-1.2083855220919312e-06,-1.7693959292872317e-06,4.9999999999999998e-07
3.1150619103131768e-07,-4.3470118137006191e-07,-2.5545925225008881e-06,4.9999999999999998e-07
7.9338632229530939e-07,-2.8225724827625704e-06,6.1058563553573088e-07,4.9999999999999998e-07
1.6516700230448625e-06,-3.7929292039338249e-07,1.3250003211876532e-06,4.9999999999999998e-07
1.6931360342476527e-06,-1.6322060555083727e-06,2.5224914953999581e-06,4.9999999999999998e-07
8.061847617312068e-07,-2.0805531523061121e-06,-2.0793075151434082e-06,4.9999999999999998e-07
7.2148405455235713e-07,2.1481108380107865e-06,-6.4396802934744454e-08,4.9999999999999998e-07
1.2012859181166811e-06,2.7879051796289265e-06,5.3598088831771365e-07,4.9999999999999998e-07
5.384185722100749e-07,-2.5980933009567555e-06,1.7994187545461994e-06,4.9999999999999998e-07
9.3357631678835689e-08,2.8651786435845144e-06,-3.6650764202828776e-07,4.9999999999999998e-07
-1.2267676880445753e-06,1.3890405428616733e-06,-2.4413883355371665e-06,4.9999999999999998e-07
9.750551795106934e-08,-6.3190302699299971e-07,8.8556519963253594e-07,4.9999999999999998e-07
2.4717329382414885e-06,-9.4368008313344001e-07,-8.8787903134609942e-07,4.9999999999999998e-07
7.3813561412044702e-07,-3.5690619954492355e-06,1.9310732170082007e-06,4.9999999999999998e-07
1.96218300988618e-06,-7.2838767461835963e-07,2.8552467497012779e-06,4.9999999999999998e-07
5.6408593815878358e-07,-2.9980342449782867e-06,-1.7636865332459274e-06,4.9999999999999998e-07
-1.5929798364453772e-07,-1.93437207921593e-06,-2.2948861835035372e-06,4.9999999999999998e-07
2.6352274440426377e-06,-4.0405589922721493e-07,1.5038902160377467e-06,4.9999999999999998e-07
2.0859644986778019e-06,3.0842918174142014e-06,8.9584026368357444e-07,4.9999999999999998e-07
-9.755869740452773e-07,-2.2277604579165177e-06,-1.797296449491691e-06,4.9999999999999998e-07
5.6120052289121695e-07,-3.9906365513781931e-06,-1.8850633667370729e-06,4.9999999999999998e-07
-1.4436039191202431e-06,-2.999750547721362e-07,-5.3184471222314429e-07,4.9999999999999998e-07
-1.0048569691098953e-06,-2.2964221774802487e-06,-2.794506976740311e-06,4.9999999999999998e-07
-5.9386471151294439e-08,-1.3007293832564228e-09,-3.375934522739964e-06,4.9999999999999998e-07
-2.43938157310522e-06,-3.6154421682941232e-07,-4.6375578428515827e-07,4.9999999999999998e-07
1.713298086994447e-06,-3.365231899495531e-06,2.0177418011767077e-06,4.9999999999999998e-07
-2.2958982256405307e-06,6.1363636797151851e-09,4.5506058459210817e-07,4.9999999999999998e-07
-3.2063432162899116e-06,-9.6858309314844793e-07,-6.7177895732308661e-07,4.9999999999999998e-07
-3.7414167166352904e-07,3.7424798344742195e-06,-4.750756936728909e-07,4.9999999999999998e-07
-1.0907605370882635e-06,8.0438549193223141e-07,-3.4002121080508771e-07,4.9999999999999998e-07
3.960948347141914e-07,-1.249493646283999e-06,-1.078514856702115e-07,4.9999999999999998e-07
-6.865547811427855e-07,9.1862678266234449e-08,-2.1203909557859237e-06,4.9999999999999998e-07
2.8449891606577375e-06,2.4745719781192421e-06,1.1241454981316324e-06,4.9999999999999998e-07
-2.0619713166167109e-07,-1.1554531635202866e-06,1.6815928091791201e-06,4.9999999999999998e-07
-6.9554330387624045e-07,1.0139869843148512e-06,6.3744886371377988e-07,4.9999999999999998e-07
-2.1641836327947408e-06,-9.9558949652547198e-07,-1.1864263018407177e-06,4.9999999999999998e-07
-4.596461457684878e-07,2.0203182339275061e-06,-2.555462943310102e-06,4.9999999999999998e-07
1.0411237208545348e-06,-2.7814557390844687e-06,-2.7527607424231245e-06,4.9999999999999998e-07
-3.1354696064403398e-06,-1.84852127180601e-06,-2.0200695606320829e-07,4.9999999999999998e-07
2.6244237700754294e-06,-2.3278008264476924e-07,3.417216758084387e-06,4.9999999999999998e-07
