x_m,y_m,z_m,radius_m
-4.7393732346512032e-06,2.7037510399169252e-06,-5.0592199490914389e-06,4.9999999999999998e-07
-4.0354231255336632e-06,2.7787084824919743e-06,-4.3529369847803831e-06,4.9999999999999998e-07
-3.7986549727863493e-06,1.8319404331906055e-06,-4.5710449916639131e-06,4.9999999999999998e-07
-3.387582330779862e-06,3.5295909629578986e-06,-4.481302888283236e-06,4.9999999999999998e-07
-3.2523916734784704e-06,3.9100366455726507e-06,-3.566434280909362e-06,4.9999999999999998e-07
-2.8841191050750283e-06,4.839226160654766e-06,-3.5350948421301512e-06,4.9999999999999998e-07
-1.9133512363458163e-06,5.0139768337054945e-06,-3.3705592918339905e-06,4.9999999999999998e-07
-2.0917544785198888e-06,5.3464389234557021e-06,-2.4444700725571951e-06,4.9999999999999998e-07
-2.4769545563026661e-06,5.8844347158650034e-06,-3.1942576607620347e-06,4.9999999999999998e-07
-2.5455887309210325e-06,3.2404823840774249e-06,-3.7947469859998372e-06,4.9999999999999998e-07
-2.5226537448781817e-06,2.2759705109133212e-06,-3.5317054817829446e-06,4.9999999999999998e-07
-2.6698785066908098e-06,1.9043364421211028e-06,-2.6150741554460384e-06,4.9999999999999998e-07
-2.9691468328447791e-06,9.5192608306253931e-07,-2.672979050912133e-06,4.9999999999999998e-07
-2.202627337375393e-06,1.0610891353768629e-06,-3.3058544660411914e-06,4.9999999999999998e-07
-3.3143118808026798e-06,1.8319390689570269e-07,-2.1345443464269747e-06,4.9999999999999998e-07
-3.8882932638817591e-06,-2.9944942077055404e-07,-2.796058359988191e-06,4.9999999999999998e-07
-4.4221990404658441e-06,-6.199142044135515e-07,-2.0135962560018114e-06,4.9999999999999998e-07
-4.3565530015089076e-06,1.5084698153665445e-06,-5.3353201704784572e-06,4.9999999999999998e-07
-3.3465845002657815e-06,2.7965820813339981e-08,-3.5702359074540224e-06,4.9999999999999998e-07
-4.470867178501878e-06,3.4965822970315805e-07,-2.2535143823305741e-06,4.9999999999999998e-07
-4.3803573671959573e-06,8.976214018417552e-07,-4.5439305269598643e-06,4.9999999999999998e-07
-3.3896083252271519e-06,9.1957956929216311e-07,-4.6778490645867198e-06,4.9999999999999998e-07
-4.9427383404056702e-06,2.9308682058014125e-06,-3.9609847945018251e-06,4.9999999999999998e-07
-4.5958949645553998e-06,2.6533413916829703e-06,-3.0650615053335752e-06,4.9999999999999998e-07
-3.662756734761341e-06,3.0113228272562459e-06,-3.0982629493037814e-06,4.9999999999999998e-07
-4.5350352155168766e-06,1.800392499697913e-06,-3.5834959550072357e-06,4.9999999999999998e-07
-2.0275538571577706e-06,4.6864429930954184e-06,-1.695949096147995e-06,4.9999999999999998e-07
-2.9414600231020002e-06,4.7144941968340692e-06,-1.2909939754025838e-06,4.9999999999999998e-07
-3.0709812718606912e-06,3.7460913221170943e-06,-1.0778740130342264e-06,4.9999999999999998e-07
-2.5173846972131809e-06,2.9133740818310518e-06,-1.0884961723693158e-06,4.9999999999999998e-07
-2.2871737004917579e-06,3.3337441276806537e-06,-1.9661589330814997e-06,4.9999999999999998e-07
-3.0512521340270887e-06,5.5624597966429429e-06,-1.8095496946067876e-06,4.9999999999999998e-07
-1.9657417632379295e-06,3.1714465967775655e-06,-2.9534508309038277e-07,4.9999999999999998e-07
-2.7845117750241635e-06,3.6937695186234059e-06,-5.7029256687697754e-08,4.9999999999999998e-07
-3.5944764753856168e-06,5.2334143952365386e-06,-2.5819721429916668e-06,4.9999999999999998e-07
-4.0771033475870174e-06,4.1405224808341358e-06,-4.0922997419634894e-06,4.9999999999999998e-07
-1.1400630349025115e-06,5.5418755217316491e-06,-3.7217691047504909e-06,4.9999999999999998e-07
-1.1603897019465559e-06,6.3956304953539823e-06,-3.2014910333098346e-06,4.9999999999999998e-07
-1.0924038740065132e-06,6.7506327580417492e-06,-2.2691009214543555e-06,4.9999999999999998e-07
-1.4649477472505187e-06,6.4520009554251559e-06,-1.3904484822189559e-06,4.9999999999999998e-07
-9.5082286830823202e-07,7.2246797681999912e-06,-1.0181004445694342e-06,4.9999999999999998e-07
-1.4141280881534167e-07,6.6800197839558139e-06,-7.985535084604365e-07,4.9999999999999998e-07
4.8595858028823354e-07,6.3576898401023441e-06,-1.5074318812647349e-06,4.9999999999999998e-07
