x_m,y_m,z_m,radius_m
1.3488858982640708e-06,5.1416036079197034e-06,-8.9739141298619967e-07,4.9999999999999998e-07
7.5758732898437864e-07,4.3664352185876451e-06,-1.1198323492999384e-06,4.9999999999999998e-07
2.766955081390656e-07,4.3079323662957438e-06,-1.9946583165172992e-06,4.9999999999999998e-07
1.37702410750836e-07,1.5278420634816473e-06,-1.805256555373727e-06,4.9999999999999998e-07
3.8434458775536458e-07,3.3909168560817732e-06,-1.6106085415078958e-06,4.9999999999999998e-07
3.2956928839597087e-07,2.4837159440054162e-06,-2.0277250380743992e-06,4.9999999999999998e-07
-7.8295916385698553e-07,1.8102987452727635e-06,-6.2439021598183684e-07,4.9999999999999998e-07
-1.7186461230048002e-06,1.4826461064053954e-06,-7.5528583364707955e-07,4.9999999999999998e-07
-1.5702541282975045e-06,5.4201137295213631e-07,-4.5002182638761541e-07,4.9999999999999998e-07
-7.1076083637705117e-08,2.2969683637668633e-06,-1.1307252459099633e-06,4.9999999999999998e-07
8.8850071795411485e-07,2.0377865784600054e-06,-1.0210112358111546e-06,4.9999999999999998e-07
1.4231784464204241e-06,2.8617804840024867e-06,-1.2085046231904294e-06,4.9999999999999998e-07
-1.6375249626551075e-06,-8.5775061956293734e-07,1.1207390729665927e-06,4.9999999999999998e-07
-1.8603330050980462e-06,1.0257956143717462e-06,1.7101125690175261e-06,4.9999999999999998e-07
-1.6664860987458509e-06,6.8047463879018274e-08,1.4976464373036883e-06,4.9999999999999998e-07
-3.3561736254078676e-06,-9.5321442571480227e-07,2.8712941969838326e-06,4.9999999999999998e-07
-2.442667875923714e-06,-7.458587675162442e-07,2.5212786592252359e-06,4.9999999999999998e-07
-1.5319568406536177e-06,-7.1125248409735487e-07,2.1096868524734508e-06,4.9999999999999998e-07
-1.9334875050795814e-06,7.6868972938022796e-07,5.6789691320746581e-07,4.9999999999999998e-07
-6.8661065218921034e-07,1.1584510942847404e-08,1.2264620242849604e-06,4.9999999999999998e-07
-1.0891308231732754e-06,9.1570230262046165e-07,1.0831144372004461e-06,4.9999999999999998e-07
-1.3760485172385862e-07,2.2442020041688074e-06,4.1687774206354698e-07,4.9999999999999998e-07
-8.160341355603439e-07,1.5146515080340269e-06,3.3033422455581052e-07,4.9999999999999998e-07
-3.0517790660272637e-07,3.0513692884184716e-06,1.2622534089538776e-06,4.9999999999999998e-07
5.7629277040093703e-07,2.7595591823061204e-06,8.9096335043708526e-07,4.9999999999999998e-07
-1.2670194541938699e-06,4.5028591962030172e-06,-6.7871493473462664e-06,4.9999999999999998e-07
-1.5900888961189211e-06,4.6204906985756554e-06,-7.9878752495827711e-06,4.9999999999999998e-07
-2.0428618750549583e-06,4.0943898009307973e-06,-7.2680040978877893e-06,4.9999999999999998e-07
-2.0960674786422734e-06,3.3501360269637269e-06,-5.7895078719949855e-06,4.9999999999999998e-07
-6.4375008468528128e-07,4.6190580981178119e-06,-6.0138233434991417e-06,4.9999999999999998e-07
-1.3657522105859691e-06,4.0217385939217833e-06,-5.6646495470855277e-06,4.9999999999999998e-07
-1.5287269904939804e-06,1.2761365416342725e-06,-5.423967560272876e-06,4.9999999999999998e-07
-2.401564299993774e-06,9.0231141276766874e-07,-5.1102641905539214e-06,4.9999999999999998e-07
-2.895814199119055e-06,3.667211250172353e-08,-5.1901743842073936e-06,4.9999999999999998e-07
-2.387610041726776e-06,2.4368935457558491e-06,-6.0740972330529781e-06,4.9999999999999998e-07
-1.6967965668816809e-06,2.4859765782488426e-06,-5.3527321390168613e-06,4.9999999999999998e-07
-2.376065809854098e-06,1.8856957588231774e-06,-4.9305281203465847e-06,4.9999999999999998e-07
-1.0636739254606013e-06,2.4903497102380487e-06,-3.5818535863724141e-06,4.9999999999999998e-07
-1.5260742943330781e-06,2.5563999839034964e-06,-2.2604848850287999e-06,4.9999999999999998e-07
-1.6977758060757599e-06,1.9453993775448584e-06,-3.0332700103350872e-06,4.9999999999999998e-07
-4.6405164216510917e-07,1.8091038179001743e-06,-4.001802573212808e-06,4.9999999999999998e-07
-8.398711646550776e-07,1.8052652217264699e-06,-4.9284874990073463e-06,4.9999999999999998e-07
-8.0245161407320648e-07,2.7815862656672568e-06,-4.7154217899112498e-06,4.9999999999999998e-07
-1.3486016285970312e-06,1.0115911385188577e-06,-3.111241585342986e-06,4.9999999999999998e-07
-7.6461474926080196e-07,1.1175854766991217e-06,-1.9375942890330426e-06,4.9999999999999998e-07
-1.7313395450493139e-06,1.0723763603970271e-06,-2.1893864751922713e-06,4.9999999999999998e-07
-3.4923849777776299e-06,-1.2079779620453879e-07,-4.1355803649615799e-06,4.9999999999999998e-07
-3.0412140092712442e-06,-1.3910678951977793e-07,-3.2433306589146727e-06,4.9999999999999998e-07
-2.1068165177367789e-06,6.1542867851281047e-08,-2.9489821532093196e-06,4.9999999999999998e-07
-1.777530630012083e-06,9.0571357944979386e-08,-2.0051981996965273e-06,4.9999999999999998e-07
-3.6015378894945271e-07,-4.9421876221401739e-06,3.9591018667019194e-07,4.9999999999999998e-07
4.1382348688658777e-07,-4.3090233906991385e-06,4.0379894532430561e-07,4.9999999999999998e-07
1.2794582413266595e-06,-3.8567668925080282e-06,1.8899547293759154e-07,4.9999999999999998e-07
2.1084980558296244e-06,-3.9745151215140574e-06,7.3564741022020287e-07,4.9999999999999998e-07
2.5831790849193289e-06,-4.1581663109790975e-06,1.5964320297565962e-06,4.9999999999999998e-07
2.227575236990043e-06,-3.6134937534043112e-06,2.355956689239634e-06,4.9999999999999998e-07
5.9573792788231601e-07,-5.2969752097184589e-06,-6.618873915102037e-07,4.9999999999999998e-07
