x_m,y_m,z_m,radius_m
7.144336462389148e-06,-6.5888211314134258e-06,-2.7972529687956561e-06,4.9999999999999998e-07
6.637083538138737e-06,-5.7870547462899258e-06,-3.1132674218281142e-06,4.9999999999999998e-07
5.8171459745545278e-06,-6.138957159055679e-06,-2.6617509949805071e-06,4.9999999999999998e-07
8.0318175928019761e-06,-6.130050495831077e-06,-2.8409192840573707e-06,4.9999999999999998e-07
8.8170939381461925e-06,-6.5492880311749043e-06,-3.2965298089595789e-06,4.9999999999999998e-07
9.620741502504359e-06,-5.3745391156713359e-06,-3.4517531434988792e-06,4.9999999999999998e-07
8.8268446446112483e-06,-5.7654868624043669e-06,-3.9174651128015937e-06,4.9999999999999998e-07
5.8868732982770914e-06,-5.3094701209485733e-06,-9.5317333975756657e-07,4.9999999999999998e-07
5.5866945487060887e-06,-4.5061074316375366e-06,-4.3887662799583712e-07,4.9999999999999998e-07
4.6308698677707204e-06,-4.6129349553733181e-06,-1.6503897629818897e-07,4.9999999999999998e-07
4.5396115596125588e-06,-4.8132526991378027e-06,-1.140510514952811e-06,4.9999999999999998e-07
5.8676458942519535e-06,-6.2912546850520248e-06,-1.4627736974868934e-06,4.9999999999999998e-07
6.6622384797093544e-06,-5.6841129081950075e-06,-1.461554709780838e-06,4.9999999999999998e-07
7.3366192669033899e-06,-6.6724519098719806e-06,-1.8194834581324563e-06,4.9999999999999998e-07
6.6316070705687527e-06,-6.8450560877363066e-06,-1.1316131209298756e-06,4.9999999999999998e-07
5.9696508475887115e-06,-7.8167240760272276e-06,-3.5816907107491332e-06,4.9999999999999998e-07
6.8042102348888845e-06,-7.4531144243310955e-06,-3.1678082995952169e-06,4.9999999999999998e-07
5.8550008159406665e-06,-7.8067742101208036e-06,-4.5750468253482967e-06,4.9999999999999998e-07
4.908051896187908e-06,-7.6143901249233596e-06,-4.3176053618234264e-06,4.9999999999999998e-07
7.2779837687195503e-06,-8.0150974600710316e-06,-4.8826517807219438e-06,4.9999999999999998e-07
6.6114242283438125e-06,-7.2729769145486423e-06,-4.9530469158353641e-06,4.9999999999999998e-07
6.1677212630402917e-06,-8.3471135249371145e-06,-6.5784842461145515e-06,4.9999999999999998e-07
6.3877994249289111e-06,-7.8454597762328946e-06,-5.7418785330867624e-06,4.9999999999999998e-07
3.9721802468515125e-06,-7.2642660010269457e-06,-5.7270495579444583e-06,4.9999999999999998e-07
4.1198406414903951e-06,-7.9804352349259684e-06,-6.4091771385857761e-06,4.9999999999999998e-07
3.0632261542794133e-06,-7.764379557825005e-06,-4.9955691990581148e-06,4.9999999999999998e-07
4.021523618770857e-06,-7.5780985853407789e-06,-4.7788542507052116e-06,4.9999999999999998e-07
4.2642731297157278e-06,-9.1107454998376036e-06,-4.4066706143207494e-06,4.9999999999999998e-07
3.8544068825104213e-06,-8.2631070074547739e-06,-4.069745332347424e-06,4.9999999999999998e-07
3.1391562401216522e-06,-9.656709010364644e-06,-5.2036128275567544e-06,4.9999999999999998e-07
3.9868147412857268e-06,-9.9909875159269084e-06,-4.7916262426740249e-06,4.9999999999999998e-07
2.1236837280537548e-06,-5.9814614193964048e-06,-1.3984997317073873e-06,4.9999999999999998e-07
1.5962337325885513e-06,-5.0062414736760471e-06,-8.6221317754300701e-07,4.9999999999999998e-07
2.3326600714370133e-06,-5.581462084320203e-06,-5.0612681647253013e-07,4.9999999999999998e-07
-6.2101454240695014e-08,-4.6194144940060347e-06,-1.4622136850223216e-06,4.9999999999999998e-07
6.2725161059329705e-07,-4.7828757746419612e-06,-7.5647098280228193e-07,4.9999999999999998e-07
-9.1013256098590213e-07,-4.202563633454694e-06,-1.1349850156638554e-06,4.9999999999999998e-07
-6.9882247908377865e-07,-4.2114464809156605e-06,-1.5760630487284109e-07,4.9999999999999998e-07
3.8297030047321857e-06,-6.5253450164546592e-06,-3.3643616889179977e-06,4.9999999999999998e-07
3.5696414949247614e-06,-5.629170421240529e-06,-3.7238600978289031e-06,4.9999999999999998e-07
2.6175591509457881e-06,-7.6990868760468265e-06,-3.3495360634387952e-06,4.9999999999999998e-07
3.0602674057006203e-06,-6.9496316340674667e-06,-3.8418024968278569e-06,4.9999999999999998e-07
2.8364761405638026e-06,-5.0133239502566584e-06,-2.0779720650019537e-06,4.9999999999999998e-07
3.6038031939384644e-06,-4.7598289475431114e-06,-1.4889478916791451e-06,4.9999999999999998e-07
3.2329112048538774e-06,-6.2348206298203855e-06,-2.616407727521449e-06,4.9999999999999998e-07
2.3502040480569022e-06,-5.8396387812890194e-06,-2.3621256362709443e-06,4.9999999999999998e-07
1.5275477921517035e-06,-1.0122839889401355e-05,-2.0688477140298902e-06,4.9999999999999998e-07
2.3159159613714175e-06,-1.0160508871132616e-05,-2.68289712374908e-06,4.9999999999999998e-07
2.0284174188482398e-06,-9.4051684122495702e-06,-3.2717989655032029e-06,4.9999999999999998e-07
1.0579175119872105e-06,-9.3386176423576038e-06,-3.0400643634051976e-06,4.9999999999999998e-07
2.0610653948938227e-06,-6.9130754427731365e-06,-4.2507697788752242e-06,4.9999999999999998e-07
2.2615404116547086e-06,-7.892688395509809e-06,-4.2637401483865789e-06,4.9999999999999998e-07
2.0239566758595488e-06,-8.9685620551810729e-06,-4.171440555659728e-06,4.9999999999999998e-07
1.9950014218450161e-06,-8.4682803483473379e-06,-5.0368189740828366e-06,4.9999999999999998e-07
1.0614964231796201e-06,-6.9415416102092115e-06,-4.2435900784832943e-06,4.9999999999999998e-07
1.100829459823756e-06,-6.9040029063327879e-06,-5.2421108634145001e-06,4.9999999999999998e-07
9.3057089169378754e-07,-6.976998691774808e-06,-3.2528321360109658e-06,4.9999999999999998e-07
4.6959991814457067e-07,-7.8224630565501241e-06,-3.5224536660121168e-06,4.9999999999999998e-07
-2.2255866047239879e-06,-6.8072706386239495e-06,-3.830641064829192e-06,4.9999999999999998e-07
-1.4872886840661471e-06,-7.1446230158719953e-06,-3.2465952156722914e-06,4.9999999999999998e-07
1.3281571922082235e-08,-8.0078203967467321e-06,-2.6521570365023788e-06,4.9999999999999998e-07
-5.9468465518281377e-07,-7.2284372093760232e-06,-2.8036130167201084e-06,4.9999999999999998e-07
8.8994522097787382e-06,-1.014646648616667e-05,-3.60994552550526e-06,4.9999999999999998e-07
9.8181501879292554e-06,-9.8865338800026946e-06,-3.3125752761611869e-06,4.9999999999999998e-07
9.7964616647422787e-06,-9.9280556915349735e-06,-2.3136731052109753e-06,4.9999999999999998e-07
8.4116344251682698e-06,-9.7884698406617109e-06,-2.8137846053233337e-06,4.9999999999999998e-07
7.6157939552926492e-06,-1.0386701546572459e-05,-2.9073622337997651e-06,4.9999999999999998e-07
7.6222115954251261e-06,-1.152638390436308e-05,-1.322170327161558e-06,4.9999999999999998e-07
7.7394480119840157e-06,-1.1102809711080859e-05,-2.2204133485192228e-06,4.9999999999999998e-07
4.7498314777604801e-06,-1.1853252093076545e-05,8.2334644508853659e-07,4.9999999999999998e-07
4.0023206833405034e-06,-1.2159915271909038e-05,1.4125707716178872e-06,4.9999999999999998e-07
5.5878812549391193e-06,-1.2060591908644839e-05,2.980281361887309e-07,4.9999999999999998e-07
4.7160762528044072e-06,-1.192728692424708e-05,-1.7333777198411136e-07,4.9999999999999998e-07
5.7870344538939206e-06,-1.1108602545726927e-05,6.5532423890156447e-08,4.9999999999999998e-07
6.4026537676091753e-06,-1.1139583655167299e-05,-7.2190203778814997e-07,4.9999999999999998e-07
7.9578410278555347e-06,-1.088471015201609e-05,-6.3252717332373851e-07,4.9999999999999998e-07
7.1623015034435489e-06,-1.1114858244735916e-05,-7.2037458417409266e-08,4.9999999999999998e-07
9.1983241021273794e-06,-1.2999239797958427e-05,-1.4609609921546712e-06,4.9999999999999998e-07
8.4286978513311579e-06,-1.3122891131300415e-05,-8.3455395048919101e-07,4.9999999999999998e-07
7.8700535190720417e-06,-1.3366541248064783e-05,-1.662306387984831e-06,4.9999999999999998e-07
7.7127069618043899e-06,-1.2510559530220283e-05,-1.1698255663968231e-06,4.9999999999999998e-07
7.3973112114430292e-06,-1.2133166261448313e-05,-3.1566840265137213e-06,4.9999999999999998e-07
7.7037608539485253e-06,-1.2724944022459261e-05,-2.4111052592589619e-06,4.9999999999999998e-07
7.9998666482847111e-06,-1.1851553680032158e-05,-3.9034244764162701e-06,4.9999999999999998e-07
8.9402285436423147e-06,-1.15124474499505e-05,-3.9303775927344383e-06,4.9999999999999998e-07
5.6468450687796331e-06,-1.28619686755925e-05,-3.046079876229087e-06,4.9999999999999998e-07
5.6368136170444545e-06,-1.3651237165583779e-05,-3.6600461787921618e-06,4.9999999999999998e-07
6.7266251032692508e-06,-1.2287292028698293e-05,-3.9008704488108856e-06,4.9999999999999998e-07
6.1773789551554461e-06,-1.3048095108053192e-05,-4.2465687901812894e-06,4.9999999999999998e-07
8.5764433724304706e-06,-1.237526191328036e-05,-4.9408093067037936e-06,4.9999999999999998e-07
7.612131898380548e-06,-1.2352805790933686e-05,-4.6769928864703016e-06,4.9999999999999998e-07
7.2987515687508244e-06,-1.3088440088616378e-05,-4.0764639953467683e-06,4.9999999999999998e-07
7.2103773901326741e-06,-1.395472779194513e-05,-3.584797828506951e-06,4.9999999999999998e-07
5.0250606852972603e-06,-7.8414083952905451e-06,5.8747665782817155e-07,4.9999999999999998e-07
4.5269582945738654e-06,-6.9746638619114426e-06,5.6202234163065692e-07,4.9999999999999998e-07
