id_i,id_j
1,3
1,6
1,13
2,3
4,6
5,6
6,8
7,9
7,12
8,9
10,11
11,12
11,49
12,80
13,15
14,15
15,18
16,17
16,19
17,18
19,20
20,21
20,25
22,23
23,24
24,25
26,28
27,28
28,29
29,31
30,31
31,32
32,34
32,36
33,34
33,43
35,37
36,37
38,40
38,41
39,40
39,48
41,42
42,43
44,45
45,46
46,50
47,48
47,50
49,50
51,53
52,53
52,54
52,65
53,58
54,55
55,56
57,58
57,98
58,59
58,62
60,61
61,62
63,65
64,65
64,66
66,67
67,68
68,70
69,70
69,75
70,71
71,184
72,73
73,75
74,75
76,78
76,79
77,78
78,85
79,81
80,81
82,84
83,84
83,87
84,98
85,87
86,87
88,89
88,91
89,90
91,93
92,93
92,94
94,96
95,96
95,97
97,98
97,99
99,100
101,102
101,173
102,103
103,104
104,105
105,106
106,109
107,108
108,109
109,111
110,112
110,117
111,112
113,114
114,115
115,116
116,117
116,124
117,118
119,121
119,137
120,121
120,123
122,123
122,125
124,125
126,128
127,128
127,129
129,131
130,131
130,132
132,133
132,136
133,134
134,138
135,137
136,137
138,139
139,140
139,143
140,144
141,143
142,143
144,146
145,146
145,150
147,148
148,149
149,150
151,152
151,154
152,153
153,158
154,155
155,156
157,158
157,161
157,182
158,159
159,170
160,161
161,162
163,164
164,165
165,166
166,168
167,168
168,169
169,171
169,175
170,171
172,173
173,175
174,175
176,177
177,178
177,198
178,180
179,180
180,181
181,183
182,184
182,185
183,184
185,187
186,187
188,190
188,192
189,190
189,196
191,193
192,193
194,196
194,197
195,196
197,198
197,200
199,200
