id_i,id_j
1,2
1,4
1,6
1,7
1,28
2,3
2,11
2,20
3,5
3,8
3,13
3,14
3,19
5,9
5,10
9,12
9,17
9,21
9,29
11,15
12,24
13,25
14,16
16,23
17,18
17,22
17,26
23,27
24,30
27,31
30,33
31,32
31,34
34,35
35,36
35,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
44,46
46,47
47,48
48,49
48,51
49,50
50,83
51,52
52,53
53,54
53,55
53,56
56,57
57,58
58,59
59,60
59,61
61,62
61,63
63,64
64,65
64,66
66,67
66,68
66,69
69,70
69,71
71,72
71,73
71,74
71,76
73,75
76,77
77,78
78,79
78,80
78,81
81,82
82,85
83,84
85,86
86,87
86,88
88,89
88,90
90,91
91,92
91,94
91,95
92,93
95,96
96,97
96,100
97,98
97,99
