id_i,id_j
1,3
2,3
2,5
4,6
4,19
5,6
5,10
7,8
7,10
8,9
10,11
11,12
13,14
13,46
14,15
15,18
16,18
16,23
17,18
19,20
20,21
20,22
22,23
22,24
24,25
26,28
26,30
27,28
28,37
29,30
30,31
32,34
32,37
33,34
33,39
35,36
36,37
38,40
38,50
39,40
39,42
41,43
42,43
44,46
44,47
45,46
45,152
47,48
47,64
48,49
49,50
51,52
51,56
52,53
53,75
54,55
54,62
55,56
57,59
57,60
58,59
59,91
60,61
61,62
63,65
63,71
64,65
64,67
66,68
67,68
69,70
69,72
70,71
72,73
73,75
74,75
76,78
76,81
77,78
77,85
79,80
80,81
82,83
83,84
84,87
84,91
85,86
86,87
88,90
89,90
89,92
89,99
91,92
92,93
94,95
94,98
95,96
97,98
97,100
99,100
101,102
101,119
102,103
103,106
104,106
105,106
105,112
105,150
107,108
107,110
108,109
110,111
111,112
113,114
113,118
114,115
115,125
115,194
116,118
117,118
119,121
120,121
120,122
122,123
123,125
124,125
126,127
127,128
128,130
129,130
130,131
130,132
132,133
132,137
133,134
135,137
136,137
136,150
138,139
139,140
140,143
141,143
142,143
142,149
144,146
144,148
145,146
147,148
147,149
149,150
151,152
152,153
153,156
154,155
154,160
155,156
157,158
157,161
158,159
158,164
160,162
161,162
163,165
163,167
164,165
164,169
166,168
167,168
169,171
169,173
170,171
172,173
173,175
174,175
174,184
176,178
176,200
177,178
177,180
179,180
180,181
181,185
182,183
182,186
183,184
185,187
186,187
188,189
188,193
189,190
190,199
191,192
192,193
194,195
195,196
196,198
197,198
198,200
199,200
