id_i,id_j
1,2
1,3
2,4
3,5
3,12
4,10
5,6
6,7
7,8
8,9
8,16
10,11
10,13
13,14
14,15
15,29
16,17
16,37
17,18
18,19
18,80
19,20
20,21
21,22
21,30
22,23
22,38
23,24
23,60
24,25
24,50
25,26
26,27
27,28
30,31
31,32
31,71
32,33
32,41
33,34
33,76
34,35
35,36
35,87
36,55
38,39
39,40
39,74
41,42
42,43
42,49
43,44
43,53
44,45
44,73
45,46
46,47
47,48
47,72
48,62
49,54
50,51
51,52
51,61
55,56
55,57
57,58
58,59
58,79
61,64
62,63
62,67
63,65
65,66
66,70
67,68
68,69
68,75
69,85
70,78
71,81
74,77
78,89
81,82
81,88
82,83
83,84
85,86
89,90
90,91
91,92
92,93
92,96
93,94
94,95
94,97
97,98
98,99
99,100
