case_id,case_name,particle_diameter,particle_radius,N_target,target_fractal_dimension,r_sigma_mult,realization,random_seed,max_try,csv_file,sys_file,vtk_file
25,case_025_dp1_N200_Df2.6_rep01,1.0,0.5,200,2.6,5.0,1,1053,200,case_025_dp1_N200_Df2.6_rep01/particles.csv,case_025_dp1_N200_Df2.6_rep01/particles.sys,case_025_dp1_N200_Df2.6_rep01/particles.vtk
26,case_026_dp1_N200_Df2.6_rep02,1.0,0.5,200,2.6,5.0,2,1054,200,case_026_dp1_N200_Df2.6_rep02/particles.csv,case_026_dp1_N200_Df2.6_rep02/particles.sys,case_026_dp1_N200_Df2.6_rep02/particles.vtk
27,case_027_dp1_N200_Df2.6_rep03,1.0,0.5,200,2.6,5.0,3,1055,200,case_027_dp1_N200_Df2.6_rep03/particles.csv,case_027_dp1_N200_Df2.6_rep03/particles.sys,case_027_dp1_N200_Df2.6_rep03/particles.vtk
28,case_028_dp1.5_N50_Df1.8_rep01,1.5,0.75,50,1.8,12.0,1,1056,200,case_028_dp1.5_N50_Df1.8_rep01/particles.csv,case_028_dp1.5_N50_Df1.8_rep01/particles.sys,case_028_dp1.5_N50_Df1.8_rep01/particles.vtk
29,case_029_dp1.5_N50_Df1.8_rep02,1.5,0.75,50,1.8,12.0,2,1057,200,case_029_dp1.5_N50_Df1.8_rep02/particles.csv,case_029_dp1.5_N50_Df1.8_rep02/particles.sys,case_029_dp1.5_N50_Df1.8_rep02/particles.vtk
30,case_030_dp1.5_N50_Df1.8_rep03,1.5,0.75,50,1.8,12.0,3,1058,200,case_030_dp1.5_N50_Df1.8_rep03/particles.csv,case_030_dp1.5_N50_Df1.8_rep03/particles.sys,case_030_dp1.5_N50_Df1.8_rep03/particles.vtk
31,case_031_dp1.5_N50_Df2.2_rep01,1.5,0.75,50,2.2,8.0,1,1059,200,case_031_dp1.5_N50_Df2.2_rep01/particles.csv,case_031_dp1.5_N50_Df2.2_rep01/particles.sys,case_031_dp1.5_N50_Df2.2_rep01/particles.vtk
32,case_032_dp1.5_N50_Df2.2_rep02,1.5,0.75,50,2.2,8.0,2,1060,200,case_032_dp1.5_N50_Df2.2_rep02/particles.csv,case_032_dp1.5_N50_Df2.2_rep02/particles.sys,case_032_dp1.5_N50_Df2.2_rep02/particles.vtk
33,case_033_dp1.5_N50_Df2.2_rep03,1.5,0.75,50,2.2,8.0,3,1061,200,case_033_dp1.5_N50_Df2.2_rep03/particles.csv,case_033_dp1.5_N50_Df2.2_rep03/particles.sys,case_033_dp1.5_N50_Df2.2_rep03/particles.vtk
34,case_034_dp1.5_N50_Df2.6_rep01,1.5,0.75,50,2.6,5.0,1,1062,200,case_034_dp1.5_N50_Df2.6_rep01/particles.csv,case_034_dp1.5_N50_Df2.6_rep01/particles.sys,case_034_dp1.5_N50_Df2.6_rep01/particles.vtk
