id_i,id_j
1,3
1,4
2,3
4,5
5,6
5,7
7,9
7,10
8,9
10,11
11,12
12,17
13,15
13,23
14,15
14,16
14,28
16,18
17,18
19,20
19,22
20,21
22,23
23,24
24,25
26,27
27,28
28,29
29,30
30,31
30,39
31,32
32,33
32,36
33,34
35,37
35,95
36,37
38,40
39,40
40,43
41,42
41,47
42,43
44,46
45,46
45,47
47,48
48,50
49,50
51,52
51,59
52,53
52,56
54,55
54,63
55,56
57,59
57,61
58,59
60,61
61,62
63,64
63,66
64,65
66,67
67,68
68,71
69,70
69,75
70,71
72,73
72,99
73,75
74,75
76,78
77,78
77,80
77,97
78,85
79,81
80,81
82,83
83,84
84,86
85,86
86,87
88,90
88,92
88,94
89,90
91,92
92,93
94,96
95,96
96,99
97,98
97,100
99,100
