id_i,id_j
1,2
1,5
1,23
2,3
3,4
3,22
4,25
5,6
6,7
7,8
7,9
8,62
9,10
9,39
10,11
11,12
11,20
12,13
13,14
13,15
15,16
16,17
16,48
17,18
18,19
18,38
19,36
20,21
20,24
22,29
23,42
24,32
25,26
26,27
27,28
27,41
29,30
30,31
31,37
32,33
32,47
33,34
34,35
35,76
37,49
38,46
39,40
39,89
40,72
41,77
42,43
43,44
44,45
44,61
47,80
48,50
49,135
50,51
50,55
51,52
52,53
53,54
53,120
55,56
55,59
56,57
57,58
57,60
60,68
62,63
62,75
63,64
64,65
64,71
65,66
66,67
67,168
68,69
69,70
69,81
71,103
72,73
72,85
73,74
76,92
77,78
78,79
79,95
81,82
81,106
82,83
83,84
83,100
84,111
85,86
85,90
86,87
87,88
87,96
88,114
90,91
91,152
92,93
93,94
93,178
94,143
96,97
96,109
97,98
98,99
98,121
100,101
101,102
101,113
103,104
103,107
104,105
106,122
107,108
107,110
109,129
110,138
111,112
111,142
114,115
114,141
115,116
115,146
116,117
117,118
118,119
118,181
120,174
122,123
122,140
123,124
124,125
125,126
125,139
126,127
127,128
127,144
128,131
129,130
129,134
131,132
132,133
132,157
135,136
136,137
136,176
139,172
142,154
144,145
144,165
145,147
147,148
148,149
148,153
149,150
150,151
150,182
151,155
152,194
155,156
155,171
156,159
157,158
157,184
159,160
159,164
160,161
161,162
162,163
164,183
165,166
166,167
166,185
168,169
168,170
171,175
172,173
172,177
175,188
178,179
179,180
179,191
181,187
183,189
184,192
185,186
187,197
189,190
192,193
194,195
194,196
196,198
198,199
199,200
