x_m,y_m,z_m,radius_m
-2.9135835017787258e-06,5.4572453850799038e-06,1.6339207988081279e-06,4.9999999999999998e-07
-2.6674885109579014e-06,4.5335644540705969e-06,1.340235945295595e-06,4.9999999999999998e-07
-1.9950590311419957e-06,3.8670746134730043e-06,1.6621519080167757e-06,4.9999999999999998e-07
-1.9459099218444984e-06,3.3175814705947782e-06,2.4962032559475088e-06,4.9999999999999998e-07
-1.5436617644014948e-06,4.7335122113221673e-06,1.8755210637365662e-06,4.9999999999999998e-07
-3.1591183866289164e-06,6.3963066853932406e-06,1.3933454580613491e-06,4.9999999999999998e-07
-1.8332543090900697e-06,3.8898825813665815e-06,6.7559272148904157e-07,4.9999999999999998e-07
-9.9317678981042127e-07,3.0592605506850929e-06,2.6561091078152633e-06,4.9999999999999998e-07
-3.3959477635521703e-06,6.9656821675538929e-06,2.1805705888469893e-06,4.9999999999999998e-07
-2.9077044548559564e-06,4.0755314068889085e-06,4.8437262210279462e-07,4.9999999999999998e-07
-4.0600541638438186e-06,6.126709863364591e-06,1.053297992424223e-06,4.9999999999999998e-07
-3.1123198622768278e-06,6.6066786590678316e-06,4.1684480224450614e-07,4.9999999999999998e-07
-3.6579097570506385e-06,4.5403054945696934e-06,1.2023217920657702e-06,4.9999999999999998e-07
-2.6232587849084834e-06,3.5687329277355773e-06,3.1876665328335483e-06,4.9999999999999998e-07
-2.5849022514964632e-06,4.5583271243209549e-06,3.3263463887216813e-06,4.9999999999999998e-07
-4.9522011557802121e-06,6.5654527404572413e-06,9.4569486710108737e-07,4.9999999999999998e-07
-2.8785578544448351e-06,3.4964748938945132e-06,1.9486578888807734e-06,4.9999999999999998e-07
-2.6867107691953894e-06,4.8324927363314362e-06,-1.3058374759082913e-07,4.9999999999999998e-07
-4.5069583684029462e-06,4.013863382296122e-06,1.2467645415943303e-06,4.9999999999999998e-07
-5.1525136945390146e-06,6.5479898108657735e-06,1.9252712719343638e-06,4.9999999999999998e-07
-3.4959511021746035e-06,4.4773747402026975e-06,2.9220733334933993e-06,4.9999999999999998e-07
-2.4140229481608045e-06,5.1977668101530818e-06,2.4604255613006989e-06,4.9999999999999998e-07
-1.5084064942840758e-07,2.6798503061621157e-06,2.2733328115829247e-06,4.9999999999999998e-07
-6.0043068643777218e-07,1.9270161950953995e-06,1.792594213344438e-06,4.9999999999999998e-07
-5.1374897185420855e-06,6.5348734798989763e-06,2.9250723731576089e-06,4.9999999999999998e-07
-3.8133297778074394e-08,2.192146691170699e-06,3.1390361307450217e-06,4.9999999999999998e-07
-8.5977666641725739e-07,1.8199805413956986e-06,3.5707704607824968e-06,4.9999999999999998e-07
-2.5129334622851031e-07,2.5398305696506649e-06,4.0520962133188557e-06,4.9999999999999998e-07
-5.8139079440770279e-06,6.4985290957413917e-06,4.4272107376674795e-07,4.9999999999999998e-07
-5.1334675886817394e-06,6.295882724338342e-06,-2.6150571563188805e-07,4.9999999999999998e-07
3.9563815348133821e-07,1.380563436276323e-06,3.5304118433887085e-06,4.9999999999999998e-07
-1.4515677072572419e-07,1.4155981935355378e-06,4.3708363883275536e-06,4.9999999999999998e-07
9.7480560058205029e-07,5.9914921308683847e-07,3.7626980461989887e-06,4.9999999999999998e-07
1.0479518250940933e-06,7.2639398250737043e-07,4.7518686070704447e-06,4.9999999999999998e-07
1.9870810859611781e-06,9.2471539306319348e-07,4.4713247611240541e-06,4.9999999999999998e-07
1.9531418913067822e-06,8.5266176591098384e-07,5.468147917897823e-06,4.9999999999999998e-07
2.8262038485444407e-06,1.0595684257556437e-06,5.0266137143118774e-06,4.9999999999999998e-07
3.7950546119143573e-06,1.2683039554367904e-06,5.1598716482830369e-06,4.9999999999999998e-07
3.5697930574130156e-06,1.1909134630511948e-06,4.1886518257135247e-06,4.9999999999999998e-07
3.6006815692057189e-06,1.9028086173509671e-06,3.487045676136902e-06,4.9999999999999998e-07
4.2334188097090114e-06,1.0574018689719047e-06,3.4525978092609405e-06,4.9999999999999998e-07
3.6852162848020679e-06,2.2307522953229863e-07,4.4121839986061923e-06,4.9999999999999998e-07
4.4209598771933934e-06,7.5661586875796161e-08,3.4844469303896621e-06,4.9999999999999998e-07
3.9370699366891843e-06,-7.3917339171073326e-07,3.1652377777158643e-06,4.9999999999999998e-07
4.7568048666358926e-06,-1.1106665765064995e-06,3.6011591677342519e-06,4.9999999999999998e-07
