id_i,id_j
1,3
2,3
2,6
2,9
4,6
5,6
7,9
7,11
8,9
10,12
11,12
11,21
13,15
14,15
14,17
16,17
16,25
17,18
18,34
19,20
19,25
20,21
22,23
22,24
24,25
26,28
26,29
27,28
29,31
29,36
30,31
32,33
32,36
33,34
35,37
35,38
36,37
38,40
39,40
40,43
41,43
42,43
42,44
44,45
44,47
45,46
47,48
48,50
49,50
49,75
51,52
52,53
52,54
52,59
52,68
54,56
55,56
56,99
57,58
58,59
59,61
60,62
61,62
63,65
63,68
63,72
64,65
66,67
67,68
69,70
69,74
70,71
72,73
73,74
74,75
76,78
77,78
77,81
79,80
79,85
80,81
82,84
82,87
83,84
83,93
85,86
86,87
86,159
88,89
89,90
89,91
91,92
91,95
92,93
94,95
95,96
96,100
97,98
97,100
99,100
101,103
102,103
103,104
104,106
104,130
105,106
105,112
107,109
107,124
108,109
108,110
110,112
111,112
113,115
114,115
115,116
116,118
117,118
117,121
118,156
119,120
119,124
120,121
122,123
123,125
124,125
126,127
126,129
127,128
128,135
129,131
130,131
132,133
133,134
133,136
135,137
136,137
136,148
138,139
139,140
140,142
140,147
141,142
142,143
144,145
145,146
146,150
147,148
148,150
149,150
151,153
152,153
152,154
154,156
154,162
155,156
157,159
157,162
158,159
160,161
160,167
161,162
163,165
163,166
164,165
164,175
166,168
167,168
167,176
169,171
170,171
170,175
172,173
172,175
174,175
176,178
177,178
177,180
179,181
180,181
180,200
181,183
182,183
183,184
184,186
185,187
186,187
188,189
189,190
189,193
191,193
192,193
192,197
194,196
195,196
196,199
197,198
197,200
199,200
