id_i,id_j
1,2
2,3
2,4
2,20
3,12
4,6
5,6
7,9
8,9
8,10
10,11
11,12
13,15
14,15
14,17
14,25
16,17
17,18
19,21
19,23
20,21
22,23
22,43
23,24
24,25
26,28
26,31
26,35
27,28
29,31
30,31
32,34
33,34
33,37
34,38
35,37
36,37
37,75
38,39
39,40
40,42
41,42
42,43
43,45
44,46
44,50
45,46
47,48
47,49
49,50
51,53
51,55
51,77
52,53
52,57
54,55
55,56
57,59
58,59
58,69
59,61
60,62
61,62
63,65
64,65
65,66
66,67
66,71
67,68
69,71
70,71
70,72
72,73
73,74
74,75
76,77
76,79
77,78
79,80
80,81
81,82
82,83
83,84
84,86
85,87
85,96
86,87
88,90
89,90
90,91
91,93
92,93
92,97
94,96
95,96
95,97
97,98
98,99
99,100
