id_i,id_j
1,2
1,3
1,16
2,6
2,18
3,4
4,5
4,22
5,23
6,7
6,12
7,8
8,9
8,15
9,10
10,11
11,35
12,13
12,14
14,36
15,34
16,17
16,25
18,19
18,27
19,20
20,21
20,30
23,24
23,28
25,26
25,31
28,29
31,32
31,33
35,38
36,37
37,39
39,40
40,41
41,42
42,43
42,46
43,44
44,45
44,47
46,54
47,48
48,49
48,64
49,50
50,51
51,52
52,53
52,55
53,66
55,56
55,74
56,57
56,63
57,58
58,59
58,79
59,60
60,61
60,62
63,65
64,67
65,81
66,68
67,80
68,69
68,78
69,70
70,71
70,72
72,73
72,86
74,75
75,76
76,77
79,85
81,82
82,83
82,84
86,87
87,88
87,99
88,89
88,92
89,90
90,91
92,93
93,94
94,95
94,100
95,96
96,97
96,98
