id_i,id_j
1,2
1,5
2,3
3,4
3,15
5,6
5,7
6,20
7,8
8,9
8,10
10,11
10,25
11,12
11,21
12,13
13,14
13,18
15,16
15,17
16,22
18,19
18,23
19,26
20,29
21,24
22,37
23,32
26,27
27,28
27,36
29,30
30,31
30,33
32,34
33,43
34,35
34,51
37,38
37,42
38,39
39,40
40,41
41,44
42,45
43,50
44,46
46,47
47,48
48,49
50,52
51,75
52,53
52,59
53,54
54,55
54,63
55,56
55,65
56,57
57,58
57,66
58,76
59,60
59,74
60,61
61,62
61,64
63,72
66,67
66,117
67,68
68,69
68,83
69,70
70,71
70,80
72,73
72,140
75,81
76,77
76,167
77,78
78,79
78,114
80,130
81,82
82,88
83,84
84,85
84,152
85,86
86,87
86,103
88,89
88,193
89,90
90,91
91,92
91,120
92,93
92,137
93,94
93,108
94,95
94,151
95,96
96,97
96,118
97,98
98,99
99,100
99,104
100,101
101,102
101,107
104,105
105,106
105,115
106,174
108,109
108,135
109,110
110,111
111,112
112,113
112,146
114,139
115,116
115,119
119,138
120,121
120,124
121,122
122,123
123,125
125,126
125,148
126,127
126,141
127,128
128,129
129,150
130,131
130,153
131,132
132,133
133,134
133,136
136,169
137,149
138,142
142,143
142,189
143,144
144,145
145,147
146,176
147,165
149,155
150,178
152,168
153,154
153,157
155,156
155,188
157,158
158,159
158,172
159,160
159,170
160,161
161,162
161,166
162,163
163,164
164,175
165,173
166,171
171,200
172,180
173,190
176,177
176,191
178,179
178,185
179,199
180,181
181,182
182,183
183,184
183,187
185,186
186,194
191,192
194,195
195,196
196,197
197,198
