id_i,id_j
1,2
1,5
1,7
1,19
1,25
2,3
2,4
2,8
2,21
3,12
5,6
5,18
5,23
6,16
6,17
6,34
7,13
7,15
7,20
8,9
8,10
8,11
8,29
9,14
11,22
13,35
16,28
17,27
17,33
22,30
22,32
23,24
23,37
24,38
25,26
27,31
34,36
38,39
39,40
40,41
41,42
42,43
43,44
44,45
44,46
46,47
46,48
46,49
49,50
50,51
50,52
52,53
53,54
54,55
55,56
56,57
56,58
58,59
58,60
59,61
59,62
62,63
63,64
64,65
65,66
65,67
67,68
67,69
69,70
69,73
70,71
70,72
73,74
73,75
75,76
76,77
76,78
76,81
77,79
78,80
81,82
82,83
82,84
84,85
84,86
85,87
87,88
88,89
89,90
90,91
90,92
92,93
92,94
94,95
95,96
95,97
97,98
98,99
99,100
