id_i,id_j
1,2
2,3
3,5
4,6
4,11
5,6
7,8
8,9
9,10
10,12
10,24
11,12
13,14
14,15
14,18
16,18
17,18
17,19
19,21
20,21
20,24
22,23
22,41
23,25
24,25
26,28
26,33
27,28
27,31
29,30
30,31
32,33
32,53
33,34
34,36
35,36
35,43
36,37
38,39
38,48
39,40
40,41
41,42
42,43
44,45
45,46
45,48
47,48
47,50
49,50
51,53
51,58
52,53
52,56
54,55
54,66
55,56
57,59
57,60
58,59
60,61
61,62
61,80
63,64
64,65
64,66
66,67
67,68
67,74
69,71
70,71
70,73
72,73
72,74
74,75
76,78
76,81
77,78
78,92
79,81
79,85
80,81
82,83
82,86
83,84
85,86
86,87
88,90
88,95
89,90
89,93
91,92
92,93
94,95
95,96
96,99
97,98
97,99
99,100
