id_i,id_j
1,2
1,3
1,4
2,10
3,18
4,5
5,6
5,7
7,8
7,9
10,11
10,17
11,12
12,13
12,15
13,14
14,16
16,39
18,19
18,24
19,20
20,21
20,22
21,27
22,23
22,25
24,26
25,35
26,28
28,29
29,30
30,31
30,40
31,32
32,33
33,34
33,62
35,36
36,37
37,38
37,51
38,50
39,46
40,41
41,42
41,45
42,43
43,44
43,47
44,52
46,90
47,48
48,49
48,67
52,53
52,54
53,55
54,78
55,56
55,69
56,57
56,64
57,58
57,63
58,59
58,65
59,60
60,61
60,71
61,66
62,79
64,68
67,70
70,77
71,72
71,80
72,73
73,74
74,75
74,82
75,76
76,81
79,85
81,92
82,83
82,84
84,100
85,86
85,95
86,87
87,88
88,89
88,99
90,91
90,94
92,93
92,98
94,96
96,97
