x_m,y_m,z_m,radius_m
2.1992258004710232e-06,1.104161106836939e-05,1.8249454524691949e-07,4.9999999999999998e-07
1.4876807503203197e-06,1.0585197777922782e-05,-3.5172502563169927e-07,4.9999999999999998e-07
1.5547238424487246e-06,1.0413685052404847e-05,-1.3346230919556053e-06,4.9999999999999998e-07
1.5069009352021078e-06,1.0192222553978124e-05,5.6762314446424147e-07,4.9999999999999998e-07
1.9990336693417218e-06,9.2020736765796324e-06,1.1979873456378014e-06,4.9999999999999998e-07
1.1571415847008249e-06,9.7127370485426084e-06,1.3724598029323864e-06,4.9999999999999998e-07
1.2800945381537575e-07,8.3478318841698496e-06,-8.113598680113499e-07,4.9999999999999998e-07
1.0310974897508802e-06,9.2782166010259945e-06,4.8066113349056098e-07,4.9999999999999998e-07
3.0937981867740079e-07,8.694261763672973e-06,1.0901566911317938e-07,4.9999999999999998e-07
-5.9292058080470351e-07,9.0253911166483397e-06,3.8507243989149122e-07,4.9999999999999998e-07
-1.3463121017555598e-06,9.2776939278263567e-06,-2.2217092782118064e-07,4.9999999999999998e-07
-2.1929069580053759e-06,8.9740210607556522e-06,-6.5927496483801322e-07,4.9999999999999998e-07
4.1096446299531581e-06,3.7742065777953244e-06,5.1020544125939424e-08,4.9999999999999998e-07
3.2291021667432034e-06,3.4154243806316234e-06,-2.586894903943103e-07,4.9999999999999998e-07
3.1927752383619977e-06,3.434287918386875e-06,-1.257851399805265e-06,4.9999999999999998e-07
4.6937022900339331e-06,5.508367330547492e-06,1.4395560619541622e-06,4.9999999999999998e-07
4.4680374108810254e-06,4.5757962927827508e-06,1.7213123783683638e-06,4.9999999999999998e-07
4.1341738561555315e-06,3.9251526221525002e-06,1.0392581718020133e-06,4.9999999999999998e-07
5.4790670376760919e-06,6.4642785923808704e-06,1.104866878023241e-06,4.9999999999999998e-07
4.3895636217418369e-06,6.4481449901985014e-06,1.2836149805471625e-06,4.9999999999999998e-07
4.8642674609322913e-06,7.2053177593259188e-06,8.3489941055904124e-07,4.9999999999999998e-07
2.4090691233532647e-06,7.3194536119662803e-06,9.3716171517470842e-07,4.9999999999999998e-07
2.0294651897747447e-06,8.2442657354958208e-06,9.1219394025391207e-07,4.9999999999999998e-07
3.9178596560163803e-06,7.5197522446760902e-06,9.0867759986198618e-07,4.9999999999999998e-07
3.1308610429272841e-06,7.7448565981427941e-06,1.4831001038137173e-06,4.9999999999999998e-07
2.8884349083234706e-06,1.6148919076291127e-06,1.0975556758981083e-06,4.9999999999999998e-07
2.3697760132648959e-06,2.853950413138615e-06,9.3614212524939662e-07,4.9999999999999998e-07
1.9493456255817904e-06,1.9511330251135563e-06,1.026469601646348e-06,4.9999999999999998e-07
2.2323911375034513e-06,2.4787385620655553e-06,1.8528435285025705e-06,4.9999999999999998e-07
2.4937108716665185e-06,3.1463943531913488e-06,2.6666201250179771e-06,4.9999999999999998e-07
1.5590127472757196e-06,3.0474302313489847e-06,2.3252324877955825e-06,4.9999999999999998e-07
2.4959163742978295e-06,2.6837585549943589e-06,-1.6096516182922222e-06,4.9999999999999998e-07
2.3014156538017201e-06,3.1250694847631248e-06,-2.3973133589627938e-08,4.9999999999999998e-07
2.6995498142286741e-06,2.4605780752895921e-06,-6.5638151196312943e-07,4.9999999999999998e-07
1.693111800777619e-06,2.332157024034566e-06,1.1470512066694748e-08,4.9999999999999998e-07
2.3796883748744631e-06,8.0314729329151689e-07,-7.0605085310095555e-07,4.9999999999999998e-07
1.674456334121286e-06,1.3801783734133143e-06,-2.9412500872046452e-07,4.9999999999999998e-07
-3.6214732079513933e-07,-3.1428965099798515e-06,-1.1580559077187331e-06,4.9999999999999998e-07
7.8709234779223736e-07,-1.9055281105282571e-06,-1.0859204203588576e-06,4.9999999999999998e-07
-1.2838600577930181e-08,-2.3411143063710105e-06,-6.7315517977912495e-07,4.9999999999999998e-07
-7.3426924405933014e-07,-1.8176143284224463e-06,5.9635065216879572e-07,4.9999999999999998e-07
-2.0166680704974271e-07,-1.4283360049496644e-06,-3.109678237118498e-07,4.9999999999999998e-07
-1.4102092713356873e-07,-1.0125948163642916e-06,5.9649090337319653e-07,4.9999999999999998e-07
4.6505797181180597e-07,5.0033475262066134e-07,1.5604058487936232e-06,4.9999999999999998e-07
5.6456486615610043e-07,3.4016044301031201e-07,5.7834547971298464e-07,4.9999999999999998e-07
7.7628939219076383e-07,-6.3211758200198088e-07,4.7910754768297183e-07,4.9999999999999998e-07
1.0002177688906624e-06,1.6393842378484304e-06,1.0708430767371012e-06,4.9999999999999998e-07
1.3905274291610641e-06,7.3981378884005354e-07,1.2668822982476742e-06,4.9999999999999998e-07
