id_i,id_j
1,2
1,3
1,4
1,6
1,11
1,12
1,19
2,5
2,8
2,18
3,17
4,7
6,20
6,22
7,9
7,10
8,29
10,13
10,15
11,14
12,16
13,21
13,33
14,24
14,32
15,26
15,27
18,23
19,30
24,25
24,34
25,28
28,35
29,31
35,36
35,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
44,46
46,47
47,48
47,49
49,50
50,51
50,52
52,53
53,54
54,55
55,56
55,57
57,58
57,59
57,60
60,61
61,62
62,63
62,64
64,65
64,68
65,66
66,67
66,69
69,70
70,71
71,72
72,73
73,74
73,75
75,76
75,77
75,78
77,79
79,80
80,81
80,82
82,83
83,84
83,85
85,86
86,87
87,88
87,89
87,90
90,91
91,92
92,93
92,94
92,95
95,96
95,97
97,98
98,99
99,100
