id_i,id_j
1,2
2,3
2,4
3,6
4,5
5,8
6,7
7,14
8,9
9,10
10,11
11,12
12,13
13,15
13,17
14,16
16,28
17,18
18,19
19,20
20,21
20,22
22,23
23,24
24,25
24,26
25,27
26,29
28,30
29,32
30,31
30,33
33,34
33,35
35,36
36,37
37,38
38,39
38,40
40,41
41,42
42,43
43,44
43,46
44,45
44,47
46,77
47,48
48,49
48,50
50,51
51,52
51,53
51,54
51,55
55,56
55,57
57,58
58,59
59,60
60,61
60,62
60,63
60,76
63,64
64,65
65,66
66,67
67,68
68,69
69,70
69,71
71,72
72,73
73,74
73,75
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
85,88
86,87
87,89
89,90
89,91
91,92
92,93
93,94
93,95
95,96
95,97
95,98
98,99
98,100
