id_i,id_j
1,2
1,22
2,3
2,10
3,5
4,6
5,6
7,8
8,9
8,49
9,12
10,12
11,12
13,14
14,15
14,69
15,17
16,18
17,18
18,23
19,21
19,23
20,21
22,23
22,25
24,25
26,27
26,29
26,32
27,28
29,30
30,31
32,34
32,35
33,34
35,36
36,37
36,44
38,40
39,40
39,41
41,43
42,43
42,49
44,46
44,48
45,46
47,48
47,49
49,50
51,53
51,55
52,53
52,59
53,67
54,56
55,56
56,95
57,58
57,108
58,59
59,60
60,61
61,62
63,64
63,66
64,65
65,73
66,67
67,68
69,70
70,71
70,74
72,73
73,74
74,75
76,77
77,78
78,80
79,80
79,82
80,81
80,93
82,84
83,84
84,85
85,86
86,87
88,89
89,90
90,92
91,93
91,94
92,93
94,95
95,96
95,97
97,98
97,100
99,100
101,102
101,104
101,125
102,103
104,105
105,106
106,112
107,108
108,109
109,111
110,112
111,112
113,115
114,115
114,117
116,117
116,123
117,118
119,120
119,128
120,121
120,122
122,123
122,124
124,125
126,128
126,181
127,128
127,130
129,131
130,131
130,133
132,133
132,136
133,134
135,136
135,144
136,137
138,139
138,148
139,140
140,142
141,142
142,143
144,146
145,146
145,150
147,148
147,150
149,150
151,153
152,153
153,156
154,156
154,157
155,156
157,158
158,159
158,161
160,162
161,162
161,173
163,164
163,166
164,165
164,169
165,193
166,168
167,168
169,171
170,171
170,172
172,173
172,174
174,175
176,177
176,187
177,178
178,179
178,196
179,180
180,181
182,184
183,184
184,187
185,186
186,187
188,189
188,193
189,190
190,196
191,192
192,193
194,195
194,199
195,196
197,198
197,200
199,200
