case,n,group,target,box_dimension,hull_porosity,box_quality,box_grid_sd,rg_over_d,log_rg,contacts,asphericity,lambda2_over_lambda1,lambda3_over_lambda1,leaf_fraction,branch_fraction,degree_std,mean_graph_distance,neighbors_1p5d,neighbors_2d,local_density_cv,core_shell_density_difference
fractal_dp1.5_N0050_Df1.8_kf1.3_rep01,50,fractal_dp1.5_N0050_Df1.8_kf1.3_rep01,0.68646484375,1.7724646262983164,0.8699476919442322,ok,0.043412268006303587,3.7780706580343906,1.3292134714016202,49,0.4604240500225889,0.18106297165553867,0.09445507448626446,0.36,0.22,0.9583318840568751,9.486530612244898,3.4,6.68,0.3885761576744341,3.2481203007518795
fractal_dp1.5_N0050_Df1.8_kf1.3_rep02,50,fractal_dp1.5_N0050_Df1.8_kf1.3_rep02,0.699736328125,1.7699510811514425,0.8606892467029562,window_sensitivity_above_0.20,0.08568518260326906,3.7780760235613666,1.3292148915770619,49,0.5189668738014919,0.19333382704604996,0.04355551619344002,0.36,0.28,0.8708616422830896,9.004081632653062,3.12,6.32,0.3171511345915835,1.8888888888888893
fractal_dp1.5_N0050_Df1.8_kf1.3_rep03,50,fractal_dp1.5_N0050_Df1.8_kf1.3_rep03,0.71390625,1.7377591842992153,0.8858102263820146,window_sensitivity_above_0.20,0.09800778679284773,3.7780741726001787,1.3292144016553056,49,0.3672128665468134,0.29986403272784046,0.07688336741744164,0.3,0.26,0.7472616676907762,8.72,3.2,6.0,0.3464101615137755,2.428571428571429
fractal_dp1.5_N0050_Df1.8_kf1.3_rep04,50,fractal_dp1.5_N0050_Df1.8_kf1.3_rep04,0.7164453125,1.7589502684622824,0.8901220867111088,scale_span_below_half_decade,0.04096777014567109,3.7780680643158515,1.3292127848820539,49,0.34070784759016115,0.29564817399173554,0.10418442985787979,0.32,0.24,0.82365041127896,9.329795918367347,3.0,5.84,0.37415069270541546,3.5155279503105596
fractal_dp1.5_N0050_Df1.8_kf1.3_rep05,50,fractal_dp1.5_N0050_Df1.8_kf1.3_rep05,0.684453125,1.856393950310369,0.8605907126318885,scale_span_below_half_decade,0.06955997611169812,3.7780659094661266,1.32921221452432,49,0.5276554008951575,0.1532023730188657,0.0721509477032581,0.32,0.22,0.8475848040166836,10.337959183673469,3.6,7.08,0.39227921665175025,3.8571428571428568
fractal_dp1.5_N0050_Df2.2_kf1.1_rep01,50,fractal_dp1.5_N0050_Df2.2_kf1.1_rep01,0.64224609375,2.031363944536915,0.8100093903005715,scale_span_below_half_decade;grid_SD_above_0.10;window_sensitivity_above_0.20,0.12240772233972416,2.807492079310994,1.0322915863659272,49,0.16532468603806694,0.3910386063565877,0.2721833009938901,0.32,0.22,0.8475848040166836,7.893061224489796,3.4,7.12,0.3669360852316389,2.833333333333333
fractal_dp1.5_N0050_Df2.2_kf1.1_rep02,50,fractal_dp1.5_N0050_Df2.2_kf1.1_rep02,0.63544921875,2.0060211452543477,0.8002030808271686,scale_span_below_half_decade;grid_SD_above_0.10;window_sensitivity_above_0.20,0.11146865677881429,2.8075077672770616,1.0322971742435751,49,0.18142249072878536,0.47947652949152575,0.18986433019858967,0.32,0.24,0.8475848040166836,8.305306122448979,3.84,7.72,0.33582964607458654,4.333333333333333
fractal_dp1.5_N0050_Df2.2_kf1.1_rep03,50,fractal_dp1.5_N0050_Df2.2_kf1.1_rep03,0.646708984375,1.92704123085786,0.8248363671704614,scale_span_below_half_decade;grid_SD_above_0.10;window_sensitivity_above_0.20,0.12369755783547946,2.8074952429336824,1.0322927132153774,49,0.16371147436042266,0.4315789310942238,0.24754652867294796,0.38,0.26,0.9583318840568751,8.361632653061225,3.6,7.4,0.3774118930748363,5.75
fractal_dp1.5_N0050_Df2.2_kf1.1_rep04,50,fractal_dp1.5_N0050_Df2.2_kf1.1_rep04,0.638037109375,2.003310615561917,0.803978605025543,scale_span_below_half_decade,0.04908066448392542,2.807501840451054,1.032295063178262,49,0.20403522191192547,0.35760874243744295,0.22783747604747548,0.4,0.3,0.9583318840568752,7.921632653061224,3.72,7.76,0.2956175455451478,4.348484848484848
fractal_dp1.5_N0050_Df2.2_kf1.1_rep05,50,fractal_dp1.5_N0050_Df2.2_kf1.1_rep05,0.625810546875,1.960996700032019,0.7907204585050501,scale_span_below_half_decade,0.08338029849024606,2.807504468552691,1.0322959992775262,49,0.33663624422830907,0.24858727546039447,0.14468995992911396,0.36,0.28,0.8708616422830895,8.142857142857142,3.84,8.8,0.3498819163259239,5.047619047619048
