a,b,n,matching_distance,delta_exposure,abs_delta_exposure,both_box_quality_ok,delta_box_dimension,delta_hull_porosity,delta_log_rg,delta_asphericity,delta_lambda2_over_lambda1,delta_lambda3_over_lambda1,delta_leaf_fraction,delta_branch_fraction,delta_degree_std,delta_mean_graph_distance,delta_neighbors_1p5d,delta_neighbors_2d,delta_local_density_cv,delta_core_shell_density_difference
fractal_dp1.5_N0050_Df1.8_kf1.3_rep01,fractal_dp1.5_N0050_Df1.8_kf1.3_rep02,50,0.8642079871173923,0.01327148437499992,0.01327148437499992,False,-0.0025135451468738523,-0.009258445241275948,1.4201754416909296e-06,0.058542823778902964,0.012270855390511287,-0.050899558292824436,0.0,0.060000000000000026,-0.08747024177378548,-0.48244897959183675,-0.2799999999999998,-0.35999999999999943,-0.07142502308285059,-1.3592314118629902
fractal_dp1.5_N0050_Df1.8_kf1.3_rep03,fractal_dp1.5_N0050_Df1.8_kf1.3_rep04,50,0.6848792327599675,0.002539062500000022,0.002539062500000022,False,0.021191084163067142,0.0043118603290942525,-1.616773251722492e-06,-0.02650501895665225,-0.004215858736104916,0.027301062440438145,0.020000000000000018,-0.020000000000000018,0.07638874358818382,0.6097959183673467,-0.20000000000000018,-0.16000000000000014,0.02774053119163994,1.0869565217391308
fractal_dp1.5_N0050_Df2.2_kf1.1_rep01,fractal_dp2_N0050_Df2.2_kf1.1_rep04,50,1.534132626005012,0.002587890624999978,0.002587890624999978,False,-0.02220736827239156,0.009930604061858972,6.068434571959713e-06,0.021330162999263824,-0.00400391094998348,-0.03656259767817449,0.06,0.07999999999999999,0.045947512130863455,1.0620408163265305,0.16000000000000014,0.5999999999999996,-0.0014398761425529205,1.706666666666667
fractal_dp1.5_N0050_Df2.2_kf1.1_rep02,fractal_dp1_N0050_Df2.2_kf1.1_rep03,50,0.8583955376689407,0.005146484374999982,0.005146484374999982,False,-0.027695117077763287,-0.0007843233477157208,-1.6070228885389781e-06,0.0727403895328006,-0.09124956526090339,-0.05296402572869097,0.06,0.020000000000000018,0.08964515709211485,0.1395918367346951,-0.040000000000000036,0.08000000000000007,0.011035719527174581,0.16666666666666696
fractal_dp1.5_N0050_Df2.2_kf1.1_rep04,fractal_dp2_N0050_Df2.2_kf1.1_rep03,50,0.27231146799882316,-0.004775390624999987,0.004775390624999987,False,0.015636020182809407,0.000257160018032887,-2.3400868613965287e-06,0.06638494595425382,-0.006344991610145123,-0.08721590496963683,-0.06,-0.06,-0.0874702417737856,0.6628571428571428,-0.20000000000000018,0.5199999999999996,0.07311790638260846,1.1486580086580096
fractal_dp1.5_N0050_Df2.2_kf1.1_rep05,fractal_dp1_N0050_Df2.2_kf1.1_rep05,50,0.16786690653452085,-0.0015234375000000577,0.0015234375000000577,False,-0.010055154702052871,0.0023564115711747213,-3.9822363917529913e-07,-0.06168742884651779,0.03075631121831715,0.04420214725361729,0.0,-0.040000000000000036,0.044780209097678214,1.113469387755103,0.7199999999999998,-0.3600000000000012,0.051677229143654635,2.152380952380952
fractal_dp1.5_N0050_Df2.6_kf0.8_rep01,fractal_dp1.5_N0050_Df2.6_kf0.8_rep03,50,0.015188208773208431,-0.002109374999999969,0.002109374999999969,False,-0.0035351323677828006,0.00036089653415050105,-2.114639293671061e-06,0.025823240422586546,0.088492256791255,-0.1204467923623842,0.06,0.040000000000000036,0.0583446455684391,-0.042448979591837244,0.6799999999999997,0.2400000000000002,-0.002067338552227016,-0.6770186335403716
fractal_dp1.5_N0050_Df2.6_kf0.8_rep02,fractal_dp2_N0050_Df2.6_kf0.8_rep04,50,0.1953157184730234,0.0008886718750000799,0.0008886718750000799,False,-0.012817254718290538,-0.0011304858569080034,-7.911643450486672e-06,-0.0008374619136377603,0.03466845516279804,-0.02419631536558714,0.03999999999999998,0.06,0.021101922948076668,-0.7371428571428567,-0.040000000000000036,0.3200000000000003,0.000972927352119568,-0.43333333333333357
fractal_dp1.5_N0050_Df2.6_kf0.8_rep04,fractal_dp2_N0050_Df2.6_kf0.8_rep02,50,0.14170103491568525,0.0045214843749999956,0.0045214843749999956,False,0.0005627270753061353,-0.0037596433894916403,-1.3064899855308454e-06,0.00839351712569969,-0.034656512735397826,-0.0014332732375925694,-0.019999999999999962,0.0,-0.04086779568686849,-0.6375510204081634,-0.2400000000000002,0.0799999999999983,0.01661213429415681,1.0833333333333321
fractal_dp1.5_N0050_Df2.6_kf0.8_rep05,fractal_dp2_N0050_Df2.6_kf0.8_rep01,50,1.2747097597675556,-0.0016406250000000622,0.0016406250000000622,False,-0.019997614297595057,-0.009112470288859309,8.68980485058124e-06,0.021857808014704494,-0.11383707800730081,0.02970136557264047,-0.019999999999999962,0.03999999999999998,-0.10337728484779207,0.7681632653061232,0.15999999999999925,-0.2400000000000002,0.01172814273593309,1.2301678108314258
fractal_dp1.5_N0100_Df1.8_kf1.3_rep01,fractal_dp1.5_N0100_Df1.8_kf1.3_rep05,100,0.16298156636300823,0.008491210937500049,0.008491210937500049,True,0.004761101923785427,-0.0037120721467575057,8.332382037679054e-07,0.09686372116477704,-0.06617649736347331,-0.033785831637850296,-0.040000000000000036,-0.030000000000000027,-0.07079198201588666,1.754747474747477,-0.3999999999999999,-0.33999999999999986,0.0016936584117351883,0.5321698216435049
fractal_dp1.5_N0100_Df1.8_kf1.3_rep02,fractal_dp1_N0100_Df1.8_kf1.3_rep03,100,0.36613705753025777,-0.004697265624999947,0.004697265624999947,True,0.0169388377789359,0.0021755998659591658,-2.423993294975446e-06,0.14020415866206093,-0.21190988504934438,0.030238007493535064,-0.06,-0.009999999999999953,-0.1399994127537636,-1.2109090909090892,0.0,-0.2400000000000002,0.0825564956264736,2.2209150326797387
fractal_dp1.5_N0100_Df1.8_kf1.3_rep03,fractal_dp1.5_N0100_Df1.8_kf1.3_rep04,100,0.21198256045418806,-0.002006835937500062,0.002006835937500062,True,-7.40207184461994e-05,0.004604090116344328,-2.393419135104935e-06,-0.011555466827679495,-0.02960540245213797,0.03362867430569312,0.0,-0.010000000000000009,0.011253954058561555,1.8674747474747484,-0.08000000000000007,-0.09999999999999964,0.01700908385957961,1.7271317829457358
fractal_dp1.5_N0100_Df2.2_kf1.1_rep01,fractal_dp2_N0100_Df2.2_kf1.1_rep04,100,1.0532475684761355,0.002343749999999978,0.002343749999999978,True,-0.011286049042917856,-0.009548402465469286,8.968828171251886e-07,-0.01369682218214785,0.08592006160355298,-0.04902074587461394,0.010000000000000009,0.02999999999999997,-0.011707597582060192,-0.7379797979797988,-0.03999999999999959,0.96,0.012696985642994318,-1.4188629798385906
fractal_dp1.5_N0100_Df2.2_kf1.1_rep02,fractal_dp2_N0100_Df2.2_kf1.1_rep02,100,0.10129870353465723,-0.000732421875,0.000732421875,False,0.005286662599463199,0.0026503666768293854,4.177149747430775e-06,0.024823107698360047,-0.03448298631624663,-0.021873468798609075,0.030000000000000027,0.020000000000000018,0.04218350636426982,-1.3317171717171714,-0.020000000000000018,-0.16000000000000014,0.04826591168789274,0.6000000000000005
fractal_dp1.5_N0100_Df2.2_kf1.1_rep03,fractal_dp2_N0100_Df2.2_kf1.1_rep03,100,0.3902477012962882,-0.005668945312499951,0.005668945312499951,False,0.009618286800649578,-0.0053615035244166664,-2.067045932641065e-06,0.09708884562372844,-0.1069891983353716,-0.011618121670109838,-0.020000000000000018,0.010000000000000009,-0.0718825178936785,-0.9341414141414148,-0.040000000000000036,0.0,-0.02716162423795082,0.46020539152759987
fractal_dp1.5_N0100_Df2.2_kf1.1_rep04,fractal_dp1_N0100_Df2.2_kf1.1_rep03,100,0.09245502750413617,0.00020019531249992895,0.00020019531249992895,False,-0.0017227126800485326,0.0029859259827997864,3.5502168982404214e-08,-0.06436278811902729,0.02091068764846099,0.11326757278062918,-0.020000000000000018,0.02999999999999997,-0.08538819545635024,1.5941414141414132,-0.19999999999999973,-0.120000000000001,-0.00803056537092206,-5.601762523191095
fractal_dp1.5_N0100_Df2.2_kf1.1_rep05,fractal_dp1_N0100_Df2.2_kf1.1_rep05,100,0.05438066441357654,-0.002187500000000009,0.002187500000000009,False,0.0038914924092505743,-0.001937893547957814,9.728211449733237e-07,-0.00976761445933827,0.06258231849602258,-0.02869739785875733,-0.020000000000000018,0.0,-0.04419655673417622,-0.6375757575757586,-0.06000000000000005,0.22000000000000064,0.006732345745449342,0.2046511627906975
fractal_dp1.5_N0100_Df2.6_kf0.8_rep01,fractal_dp1_N0100_Df2.6_kf0.8_rep02,100,0.2614373449307917,0.0016406249999999512,0.0016406249999999512,False,-0.011179684682680602,0.00350092455082307,-1.6749255924430884e-06,-0.02908228995402795,-0.015645568133162147,0.08921618732842651,0.06,-0.010000000000000009,0.13665816553670607,0.7448484848484842,0.08000000000000007,0.5800000000000001,0.029512435481554633,0.9419191919191903
fractal_dp1.5_N0100_Df2.6_kf0.8_rep02,fractal_dp1_N0100_Df2.6_kf0.8_rep03,100,0.4650670010260101,-0.00300781250000004,0.00300781250000004,False,0.017355332738898888,-0.003610981888731879,2.525537400321909e-06,0.01014916150900591,-0.021231029572851223,-0.005106514218924718,0.07,0.020000000000000018,0.141814630196479,-0.2818181818181813,0.47999999999999954,0.5800000000000001,-0.020399073528836076,-0.5329977516024016
fractal_dp1.5_N0100_Df2.6_kf0.8_rep03,fractal_dp2_N0100_Df2.6_kf0.8_rep05,100,0.3868520412573939,-0.0048876953124999956,0.0048876953124999956,False,-0.017597438234675522,-0.0020681976867258367,3.5952681460837965e-06,0.020803641682750174,-0.01710544420759391,-0.04178847077763753,-0.06,0.009999999999999953,-0.13096536639296286,1.0575757575757567,0.05999999999999961,-0.2599999999999998,0.031545610151816894,1.2365079365079366
fractal_dp1.5_N0100_Df2.6_kf0.8_rep04,fractal_dp1_N0100_Df2.6_kf0.8_rep01,100,0.024996760437685773,0.004667968749999973,0.004667968749999973,False,0.0024416356787617666,0.0013554621843420156,-5.71031479879025e-08,0.024025717125040313,-0.1262953208946056,0.006881636351859899,-0.020000000000000018,-0.019999999999999962,-2.220446049250313e-16,0.03898989898990024,-0.2599999999999998,-0.16000000000000014,0.07467947895932331,3.6828605200945628
fractal_dp1.5_N0100_Df2.6_kf0.8_rep05,fractal_dp2_N0100_Df2.6_kf0.8_rep01,100,0.024648639391144034,0.00264160156250004,0.00264160156250004,False,0.004086444639646025,0.0007806460182188113,5.593528139113957e-06,-0.006204034537626968,0.012711669610330434,0.008153379185586895,-0.010000000000000009,0.009999999999999953,-0.01857342698423592,1.487676767676767,0.040000000000000036,0.1399999999999988,0.0017114654739252555,-0.43194444444444535
fractal_dp1.5_N0200_Df1.8_kf1.3_rep01,fractal_dp1.5_N0200_Df1.8_kf1.3_rep03,200,0.018143062817514308,0.016240234375000107,0.016240234375000107,True,0.0018035132199134551,0.0012053628144607087,-6.504453913258601e-07,0.023663420204348973,-0.05426028923372511,0.02235513034516036,-0.0050000000000000044,0.010000000000000009,-0.028222009841760598,-0.3857286432160798,-0.31000000000000005,-0.41000000000000014,-0.00951580314528161,-0.595576110752476
fractal_dp1.5_N0200_Df1.8_kf1.3_rep02,fractal_dp2_N0200_Df1.8_kf1.3_rep01,200,0.007462721696572758,-0.00140380859375,0.00140380859375,True,0.00099360479180155,-0.000797858177607913,-1.3879116078641118e-08,-0.14464079524383877,0.21765559660314576,0.01828934974350943,-0.020000000000000018,-0.009999999999999953,-0.03693979444362461,8.010552763819096,0.18999999999999995,0.4800000000000004,0.02897248313765699,-2.7561713648670167
fractal_dp1.5_N0200_Df1.8_kf1.3_rep04,fractal_dp1_N0200_Df1.8_kf1.3_rep03,200,0.01462217195629496,0.004841308593749982,0.004841308593749982,True,-0.0007235038586679288,-0.0011849282278726392,1.1006400773005964e-06,-0.08268551305521066,0.0707702303877697,-0.0007201353670122715,-0.024999999999999967,-0.034999999999999976,-0.011548031966784778,4.717185929648238,0.050000000000000266,-0.020000000000000462,0.017956494651867827,0.09942117163659425
