id_i,id_j
1,2
1,3
1,4
4,5
5,6
6,7
6,28
7,8
8,9
8,10
10,11
11,12
11,13
12,15
13,14
13,19
15,16
15,23
16,17
17,18
17,20
18,35
19,24
20,21
21,22
21,112
24,25
24,58
25,26
26,27
26,36
28,29
29,30
30,31
30,37
31,32
31,45
32,33
33,34
33,38
34,53
36,39
37,55
39,40
40,41
40,57
41,42
42,43
43,44
43,60
45,46
45,47
46,139
47,48
47,52
48,49
49,50
50,51
50,56
53,54
53,59
56,69
60,61
61,62
61,89
62,63
63,64
63,88
64,65
65,66
65,74
66,67
67,68
67,75
68,94
69,70
69,86
70,71
71,72
72,73
72,85
74,114
75,76
75,110
76,77
77,78
77,84
78,79
78,113
79,80
80,81
80,120
81,82
82,83
82,186
83,90
85,108
86,87
86,106
88,175
90,91
90,121
91,92
92,93
92,119
94,95
95,96
95,103
96,97
96,109
97,98
98,99
99,100
99,122
100,101
101,102
101,107
103,104
104,105
104,111
108,130
109,131
111,123
113,115
115,116
116,117
117,118
117,129
120,137
121,171
122,133
123,124
124,125
125,126
125,127
126,173
127,128
128,179
130,136
131,132
132,153
133,134
134,135
134,157
137,138
137,148
139,140
140,141
140,172
141,142
142,143
143,144
143,196
144,145
145,146
146,147
147,185
148,149
148,152
149,150
150,151
150,155
153,154
153,156
154,160
156,190
157,158
158,159
160,161
160,169
161,162
162,163
162,188
163,164
163,180
164,165
165,166
165,178
166,167
167,168
168,182
169,170
170,189
172,195
173,174
175,176
176,177
176,199
180,181
180,200
182,183
183,184
183,194
186,187
186,197
188,191
191,192
192,193
197,198
