id_i,id_j
1,2
1,4
1,8
1,121
2,3
3,5
3,6
5,9
6,7
9,10
10,11
11,12
12,13
12,72
13,14
14,15
15,16
16,17
16,46
17,18
18,19
19,20
20,21
21,22
22,23
22,119
23,24
24,25
25,26
26,27
26,28
27,44
27,71
28,29
29,30
30,31
31,32
31,33
31,143
33,34
33,35
35,36
36,37
37,38
37,39
39,40
39,41
41,42
41,43
41,45
42,141
46,47
47,48
47,50
48,49
49,142
50,51
50,52
50,53
53,54
54,55
54,56
56,57
57,58
58,59
58,60
60,61
61,62
61,63
63,64
63,65
65,66
66,67
67,68
68,69
68,70
68,144
70,104
71,75
72,73
72,74
74,105
75,76
76,77
77,78
77,79
79,80
80,81
80,82
82,83
83,84
84,85
84,147
85,86
85,87
87,88
88,89
89,90
90,91
90,92
91,101
92,93
93,94
94,95
94,96
96,97
97,98
97,99
98,106
99,100
101,102
101,103
101,120
102,112
105,113
106,107
107,108
108,109
109,110
109,111
109,114
113,116
114,115
114,117
114,140
116,118
118,122
122,123
122,124
124,125
125,126
126,127
126,128
128,129
128,130
130,131
131,132
131,133
133,134
134,135
135,136
135,137
135,138
138,139
138,149
143,146
144,145
144,148
149,150
150,151
151,152
151,153
153,154
154,155
154,156
154,158
155,157
158,159
159,160
160,161
161,162
161,163
162,189
163,164
164,165
165,166
165,167
167,168
168,169
168,170
168,171
171,172
172,173
172,174
173,185
174,175
175,176
176,177
177,178
178,179
178,180
178,181
181,182
181,183
182,184
182,188
185,186
186,187
189,190
190,191
191,192
191,193
191,194
194,195
194,196
196,197
196,198
196,199
199,200
