id_i,id_j
1,2
1,7
2,3
2,4
2,5
4,6
6,9
6,10
6,11
7,8
8,21
11,12
12,13
13,14
13,15
15,16
16,17
16,19
17,18
19,20
21,22
21,24
22,23
22,59
24,25
25,26
26,27
27,28
27,36
28,29
29,30
30,31
31,32
32,33
33,34
33,35
33,37
35,42
36,38
38,39
39,40
39,41
39,52
42,43
43,44
44,45
44,47
44,48
45,46
48,49
49,50
49,51
52,53
53,54
54,55
54,56
56,57
57,58
59,60
60,61
61,62
62,63
62,64
63,66
64,65
66,67
67,68
67,69
69,70
70,71
71,72
71,91
72,73
73,74
74,75
75,76
75,85
76,77
77,78
78,79
79,80
80,81
81,82
82,83
82,84
82,89
85,86
86,87
86,88
87,94
89,90
89,96
91,92
92,93
93,95
96,97
97,98
98,99
98,100
