id_i,id_j
1,2
1,3
1,5
2,4
2,6
2,7
2,8
2,9
2,12
5,11
5,13
8,10
13,14
13,15
15,16
16,17
16,18
18,19
19,20
20,21
20,41
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
29,31
31,32
32,33
32,34
34,35
34,36
36,37
36,38
38,39
39,40
39,109
41,42
42,43
43,44
44,45
44,56
44,134
45,46
46,47
47,48
48,49
49,50
50,51
50,52
52,53
52,54
53,55
55,57
57,58
58,59
59,60
59,61
61,62
62,63
63,64
64,65
64,66
66,67
67,68
67,69
69,70
70,71
70,72
70,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
80,147
81,82
82,83
83,84
84,85
84,86
84,88
86,87
86,149
88,89
89,90
90,91
91,92
92,93
93,94
93,95
95,96
95,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
103,105
105,106
106,107
106,108
109,110
110,111
111,112
112,113
113,114
114,115
114,116
114,117
115,133
117,118
118,119
119,120
120,121
120,122
121,150
122,123
123,124
124,125
124,126
126,127
126,128
128,129
129,130
129,131
129,132
129,148
133,135
135,136
136,137
137,138
137,140
138,139
140,141
141,142
142,143
142,144
142,145
145,146
148,153
150,151
151,152
151,172
153,154
153,155
155,156
156,157
157,158
157,159
159,160
160,161
161,162
161,163
163,164
163,165
163,166
166,167
167,168
167,169
169,170
169,171
171,185
172,173
172,174
173,175
175,176
175,177
176,178
178,179
178,180
180,181
181,182
182,183
182,184
185,186
186,187
187,188
188,189
189,190
190,191
190,192
191,193
191,194
194,195
195,196
196,197
197,198
198,199
199,200
