x_m,y_m,z_m,radius_m
-2.9571707851517041e-06,-2.1293043226085754e-05,-2.7796411805206486e-06,4.9999999999999998e-07
-3.1537746916352476e-06,-2.126053539535953e-05,-3.7595851303957859e-06,4.9999999999999998e-07
-3.8773513790406706e-06,-2.0934139142087842e-05,-2.6232585308443801e-06,4.9999999999999998e-07
-3.9177135346829389e-06,-2.171508203441614e-05,-3.3015624268042562e-06,4.9999999999999998e-07
-2.7143586991339312e-06,-2.20919003616588e-05,-3.4193706710553606e-06,4.9999999999999998e-07
-4.905950690146478e-06,-2.1823273435349918e-05,-3.1934793785250795e-06,4.9999999999999998e-07
-4.1126667640361884e-06,-2.0187505929067356e-05,-3.2454847877631268e-06,4.9999999999999998e-07
-4.3502967875504952e-06,-2.0434711030652641e-05,-1.8973837468232363e-06,4.9999999999999998e-07
-3.9580960889584852e-06,-2.1229989255478816e-05,-1.4350947061341138e-06,4.9999999999999998e-07
-5.0398826225500544e-06,-2.21376137614473e-05,-2.2536642919938863e-06,4.9999999999999998e-07
-6.0076076123187673e-06,-2.2149678098052309e-05,-2.0019446146553347e-06,4.9999999999999998e-07
-6.4436542286705318e-06,-2.2590718248836534e-05,-1.2175040918848662e-06,4.9999999999999998e-07
-7.3081860089960115e-06,-2.2930980196080558e-05,-1.5873778650358722e-06,4.9999999999999998e-07
-7.5116269243459495e-06,-2.2021503520456901e-05,-1.2247982593516511e-06,4.9999999999999998e-07
-6.6238669724668781e-06,-2.1630498435225369e-05,-9.8190467943906779e-07,4.9999999999999998e-07
-7.0570359627635733e-06,-2.3808945910683961e-05,-1.1798243614828106e-06,4.9999999999999998e-07
-8.1152207728949786e-06,-2.2544569925988794e-05,-2.0338999731404443e-06,4.9999999999999998e-07
-8.7162243139260959e-06,-2.3241864845032774e-05,-2.4245078833823008e-06,4.9999999999999998e-07
-8.1965758709370034e-06,-2.3936046143472641e-05,-1.9264337718332721e-06,4.9999999999999998e-07
-8.582246931703182e-06,-2.2582148506867226e-05,-3.1639836532423662e-06,4.9999999999999998e-07
-9.1815302123507826e-06,-2.2901202312793261e-05,-1.6075382021704713e-06,4.9999999999999998e-07
-8.4721077270933586e-06,-2.2501736281505224e-05,-1.0268949147226945e-06,4.9999999999999998e-07
-2.1613140770947225e-06,-2.0712075717776061e-05,-2.6090866305105941e-06,4.9999999999999998e-07
-2.4983036555335957e-06,-2.0502090793592081e-05,-1.6912934317784188e-06,4.9999999999999998e-07
-1.8159963727450964e-06,-2.0309241375948988e-05,-3.456718730013352e-06,4.9999999999999998e-07
-1.362836297002937e-06,-2.0757286427624441e-05,-4.2273688305275213e-06,4.9999999999999998e-07
-9.955125436346512e-07,-2.0237722103542501e-05,-4.9988130432562905e-06,4.9999999999999998e-07
-1.1245048447291228e-06,-2.005238923808349e-05,-5.9729858796868213e-06,4.9999999999999998e-07
-4.2947059755164216e-07,-1.9513438248834538e-05,-5.4971085567999188e-06,4.9999999999999998e-07
4.0777350317438498e-07,-1.9210631604170817e-05,-5.041773019259781e-06,4.9999999999999998e-07
3.4205273625521658e-07,-1.9232341250592306e-05,-6.0678416143414959e-06,4.9999999999999998e-07
2.1748250235937759e-07,-1.9301219876117134e-05,-7.0576587650177949e-06,4.9999999999999998e-07
3.1747898578465827e-07,-1.8753030271049361e-05,-7.8880134243039452e-06,4.9999999999999998e-07
4.3276283437842132e-07,-1.944571098220549e-05,-8.5999846783905478e-06,4.9999999999999998e-07
1.0342995907287103e-06,-1.9460282886084285e-05,-9.3986968858701374e-06,4.9999999999999998e-07
1.8146877980369503e-06,-1.884294730574895e-05,-9.4981505290727165e-06,4.9999999999999998e-07
2.4544997638026328e-06,-1.9184089114936995e-05,-1.0186818021035971e-05,4.9999999999999998e-07
2.5171656364432744e-06,-1.8821303312629673e-05,-1.1116581136055286e-05,4.9999999999999998e-07
1.9965853856141009e-06,-1.8057628078767008e-05,-1.073474826733987e-05,4.9999999999999998e-07
2.2054525632816997e-06,-1.977075194943509e-05,-1.1153759706341179e-05,4.9999999999999998e-07
1.4036746294593616e-06,-2.0263550456419963e-05,-1.0815674249172339e-05,4.9999999999999998e-07
2.9639739471768456e-06,-1.8931191040227022e-05,-1.2004436428759509e-05,4.9999999999999998e-07
3.787915841286727e-06,-1.8366247128275549e-05,-1.1960185649336039e-05,4.9999999999999998e-07
3.9222861136394206e-06,-1.9251203822518375e-05,-1.2406051413016844e-05,4.9999999999999998e-07
4.7659372683852057e-06,-1.81935063484243e-05,-1.1843417883610062e-05,4.9999999999999998e-07
4.8819012488475709e-06,-1.7225209015511532e-05,-1.162216547049476e-05,4.9999999999999998e-07
5.6551508054221695e-06,-1.7280409585101282e-05,-1.0990470907929789e-05,4.9999999999999998e-07
6.0970117005863271e-06,-1.7969906426280036e-05,-1.0416578012583234e-05,4.9999999999999998e-07
5.399480708530919e-06,-1.752685483281094e-05,-9.8534121394635198e-06,4.9999999999999998e-07
5.9617251691313064e-06,-1.8958560188437975e-05,-1.0481856592361192e-05,4.9999999999999998e-07
4.8183019353464492e-06,-1.7097718879029844e-05,-9.1619834976123289e-06,4.9999999999999998e-07
3.8395324541975794e-06,-1.6913645884909831e-05,-9.252135788804875e-06,4.9999999999999998e-07
4.5252246289207082e-06,-1.6395316649729181e-05,-8.5133412227553036e-06,4.9999999999999998e-07
4.6659958483464823e-06,-1.5860432894633819e-05,-7.6802248849509959e-06,4.9999999999999998e-07
5.5332634228723598e-06,-1.544023763587321e-05,-7.9472134590344282e-06,4.9999999999999998e-07
4.7131207413954445e-06,-1.495011884230411e-05,-7.268997976071983e-06,4.9999999999999998e-07
4.9932525070115619e-06,-1.4445776777075921e-05,-6.4521961181320282e-06,4.9999999999999998e-07
5.726486557191191e-06,-1.4861399418001634e-05,-6.9903649095043197e-06,4.9999999999999998e-07
4.2206259724550706e-06,-1.4509847719165817e-05,-5.8205766500351836e-06,4.9999999999999998e-07
3.6538300280034857e-06,-1.4137199185140219e-05,-5.0858144929790322e-06,4.9999999999999998e-07
3.5056370259008503e-06,-1.4740436442655219e-05,-4.302141317941382e-06,4.9999999999999998e-07
