n,Dbox_low,Dbox_high,porosity_low,porosity_high,cases,quality_ok
100,1.7,1.9,0.9,0.95,14,14
100,1.7,1.9,0.95,1.000001,0,0
100,1.9,2.1,0.65,0.7,0,0
100,1.9,2.1,0.7,0.75,0,0
100,1.9,2.1,0.75,0.8,2,0
100,1.9,2.1,0.8,0.85,5,3
100,1.9,2.1,0.85,0.9,10,3
100,1.9,2.1,0.9,0.95,0,0
100,1.9,2.1,0.95,1.000001,0,0
100,2.1,2.3,0.65,0.7,0,0
100,2.1,2.3,0.7,0.75,0,0
100,2.1,2.3,0.75,0.8,12,0
100,2.1,2.3,0.8,0.85,0,0
100,2.1,2.3,0.85,0.9,0,0
100,2.1,2.3,0.9,0.95,0,0
100,2.1,2.3,0.95,1.000001,0,0
100,2.3,2.5,0.65,0.7,0,0
100,2.3,2.5,0.7,0.75,0,0
100,2.3,2.5,0.75,0.8,0,0
100,2.3,2.5,0.8,0.85,0,0
100,2.3,2.5,0.85,0.9,0,0
100,2.3,2.5,0.9,0.95,0,0
100,2.3,2.5,0.95,1.000001,0,0
100,2.5,2.7,0.65,0.7,0,0
100,2.5,2.7,0.7,0.75,0,0
100,2.5,2.7,0.75,0.8,0,0
100,2.5,2.7,0.8,0.85,0,0
100,2.5,2.7,0.85,0.9,0,0
100,2.5,2.7,0.9,0.95,0,0
100,2.5,2.7,0.95,1.000001,0,0
100,2.7,2.9,0.65,0.7,0,0
100,2.7,2.9,0.7,0.75,0,0
100,2.7,2.9,0.75,0.8,0,0
100,2.7,2.9,0.8,0.85,0,0
100,2.7,2.9,0.85,0.9,0,0
100,2.7,2.9,0.9,0.95,0,0
100,2.7,2.9,0.95,1.000001,0,0
100,2.9,3.1,0.65,0.7,0,0
100,2.9,3.1,0.7,0.75,0,0
100,2.9,3.1,0.75,0.8,0,0
100,2.9,3.1,0.8,0.85,0,0
100,2.9,3.1,0.85,0.9,0,0
100,2.9,3.1,0.9,0.95,0,0
100,2.9,3.1,0.95,1.000001,0,0
150,1.5,1.7,0.65,0.7,0,0
150,1.5,1.7,0.7,0.75,0,0
150,1.5,1.7,0.75,0.8,0,0
150,1.5,1.7,0.8,0.85,0,0
