n,cases,groups,quality_ok,box_dimension_min,box_dimension_max,hull_porosity_min,hull_porosity_max,asphericity_min,asphericity_max,branch_fraction_min,branch_fraction_max,local_density_cv_min,local_density_cv_max
50,45,45,2,1.7377591842992153,2.1208030223643743,0.729308069494629,0.8901220867111088,0.09310995240688247,0.6088736163269568,0.22,0.36,0.27189894743669546,0.46363176792978994
75,30,30,7,1.8542510517997135,2.10950374303058,0.7916190845824376,0.8821731482033731,0.09148861155772292,0.4444504356223936,0.22666666666666666,0.30666666666666664,0.2787760414153584,0.42491465210408236
100,44,44,21,1.7927417294699597,2.1385777484126143,0.774940429356723,0.9235649570120251,0.10898228320096992,0.6140242272575995,0.24,0.34,0.29041790673722795,0.4147112425103529
150,30,30,26,1.8953536331861125,2.1386590177234415,0.8253177138887006,0.9194438202494801,0.09204170879303708,0.44444323171885514,0.24666666666666667,0.34,0.3100641789170312,0.3820645446864366
200,45,45,40,1.7600120761715476,2.2145730382816247,0.807296190440461,0.9538732492438214,0.08668082273560085,0.6201800333866712,0.215,0.315,0.3039857226558371,0.3822475806908328
350,30,30,30,1.9167935113697798,2.164579347850595,0.8629864991663334,0.9437176135497439,0.110043870349669,0.46524196618754254,0.2571428571428571,0.30857142857142855,0.3002592618830625,0.3836051377920214
500,45,45,45,1.791913083937687,2.290301923432303,0.8410541718512012,0.9742422011330177,0.085174383246307,0.5506953749427106,0.256,0.308,0.3142074108747701,0.3668871445571936
750,45,45,45,1.7839043720669008,2.2902389206295086,0.8507628110658747,0.9797441104063771,0.08096083587987823,0.6883721659342998,0.24933333333333332,0.304,0.31298860990100513,0.3674828499739997
1000,45,45,45,1.7874702739195198,2.3102652321508352,0.8602352612933433,0.983273987563833,0.07679528260105684,0.6112336120058581,0.261,0.309,0.30051965492648364,0.370401839898999
