id_i,id_j
1,2
1,73
2,3
3,5
4,6
4,8
5,6
7,9
7,21
8,9
8,10
10,11
11,12
13,14
13,22
14,15
15,17
16,18
17,18
17,47
19,21
20,21
20,23
22,23
22,25
24,25
26,27
27,28
27,31
28,35
29,30
30,31
32,33
32,35
33,34
35,36
36,37
36,41
38,40
39,40
39,49
40,43
41,42
42,43
44,45
45,46
46,48
47,48
47,50
49,50
51,53
51,54
51,67
52,53
52,60
54,55
55,56
57,59
58,59
58,61
58,85
60,61
61,62
63,64
64,65
64,67
66,68
66,71
67,68
69,71
69,74
70,71
72,73
72,74
74,75
76,78
76,81
77,78
79,80
80,81
80,86
81,97
82,84
83,84
84,87
85,87
86,87
88,90
89,90
89,91
89,100
91,93
92,93
94,96
95,96
96,97
97,98
98,100
99,100
