id_i,id_j
1,2
1,4
2,3
2,6
2,11
2,15
2,18
3,5
3,7
3,9
3,10
5,13
5,21
6,20
7,8
7,14
8,12
13,16
14,17
14,24
16,19
18,22
18,23
19,25
25,26
26,27
27,28
28,29
28,30
28,31
28,32
32,33
33,34
33,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
44,46
46,47
46,48
46,49
49,50
49,51
49,52
52,53
53,54
53,55
54,56
56,57
56,58
58,59
59,60
60,61
60,62
62,63
62,65
63,64
65,66
66,67
66,68
68,69
69,70
69,71
69,72
72,73
73,74
74,75
75,76
76,77
76,78
77,79
79,80
79,81
81,82
82,83
83,84
83,85
83,86
83,87
87,88
88,89
89,90
90,91
90,92
92,93
93,94
94,95
95,96
96,97
97,98
97,99
99,100
