id_i,id_j
1,2
1,4
2,3
2,6
2,7
4,5
5,10
5,53
6,8
8,9
8,18
9,20
10,11
11,12
12,13
13,14
13,15
13,16
16,17
16,21
17,19
20,22
21,24
22,23
23,34
23,48
24,25
24,26
26,27
27,28
28,29
29,30
30,31
30,32
30,33
31,83
32,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
41,43
43,44
43,45
43,46
46,47
46,49
48,74
49,50
50,51
51,52
51,85
53,54
53,55
54,56
56,57
57,58
58,59
59,60
60,61
60,72
61,62
62,63
62,64
62,65
65,66
66,67
67,68
67,69
67,70
70,71
70,73
74,75
74,76
76,77
76,80
77,78
77,79
77,81
81,82
82,84
85,86
86,87
87,88
88,89
89,90
89,91
91,92
91,93
91,163
93,94
94,95
95,96
96,97
96,98
96,99
96,100
99,101
100,145
101,102
102,103
103,104
103,105
103,143
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
114,116
116,117
117,118
118,119
119,120
120,121
120,122
121,133
121,144
122,123
123,124
124,125
125,126
125,127
125,128
125,129
129,130
130,131
130,132
132,134
134,135
134,136
136,137
137,138
138,139
138,141
139,140
141,142
141,146
143,177
145,164
146,147
147,148
148,149
149,150
149,151
151,152
152,153
153,154
154,155
154,156
156,157
157,158
158,159
158,160
160,161
160,162
160,165
165,166
166,167
167,168
167,169
167,170
170,171
170,172
172,173
172,174
174,175
174,176
174,178
178,179
179,180
179,181
180,182
182,183
183,184
184,185
184,186
186,187
187,188
187,189
189,190
190,191
191,192
192,193
192,194
192,195
195,196
196,197
197,198
198,199
198,200
