id_i,id_j
1,2
2,3
2,5
2,6
3,4
4,9
5,7
6,8
8,33
8,174
9,10
10,11
11,12
11,37
12,13
13,14
14,15
15,16
16,17
16,18
18,19
18,20
20,21
21,22
22,23
23,24
23,25
25,26
26,27
27,28
28,29
28,30
29,31
29,32
32,34
34,35
35,36
35,38
37,42
38,39
38,40
40,41
40,55
42,43
43,44
44,45
45,46
45,47
46,79
47,48
48,49
49,50
49,51
51,52
51,53
53,54
53,57
55,56
56,61
57,58
58,59
58,60
60,103
61,62
62,63
62,64
64,65
64,66
66,67
66,68
68,69
69,70
70,71
71,72
72,73
73,74
73,75
73,77
73,78
74,76
78,102
79,80
80,81
81,82
82,83
83,84
84,85
84,99
85,86
86,87
87,88
88,89
89,90
89,91
91,92
92,93
92,94
93,95
95,96
96,97
97,98
97,101
97,104
99,100
99,105
102,183
103,118
104,106
105,172
106,107
106,108
108,109
109,110
110,111
111,112
111,113
113,114
113,115
115,116
116,117
116,134
118,119
119,120
120,121
121,122
122,123
123,124
124,125
124,126
126,127
127,128
128,129
129,130
130,131
130,152
131,132
131,133
134,135
135,136
135,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
145,147
147,148
147,149
149,150
150,151
151,179
152,153
153,154
154,155
154,156
156,157
157,158
158,159
158,160
160,161
160,162
160,163
163,164
164,165
165,166
166,167
166,168
168,169
169,170
169,171
169,173
173,180
174,175
174,176
176,177
176,178
178,181
180,184
181,182
181,200
183,198
184,185
185,186
185,187
187,188
188,189
189,190
190,191
190,192
192,193
193,194
194,195
195,196
195,197
195,199
